entertainment,city,postcode,housenumber,street,state,address1,address2
VITAL Climbing Gym,New York,11249,221,North 14th Street,New York,VITAL Climbing Gym,"221 North 14th Street, New York, NY 11249, United States of America"
The Shed,New York,10001,N/A,West 30th Street,New York,The Shed,"West 30th Street, New York, NY 10001, United States of America"
Established Gallery,New York,11217,75B,6th Avenue,New York,Established Gallery,"75B 6th Avenue, New York, NY 11217, United States of America"
The Bell House,New York,11215,149,7th Street,New York,The Bell House,"149 7th Street, New York, NY 11215, United States of America"
The Old American Can Factory,New York,11215,232,3rd Street,New York,The Old American Can Factory,"232 3rd Street, New York, NY 11215, United States of America"
Ortega y Gasset Projects,New York,11215,363,3rd Avenue,New York,Ortega y Gasset Projects,"363 3rd Avenue, New York, NY 11215, United States of America"
AMC Lowes 34th St 14,New York,10001,312,West 34th Street,New York,AMC Lowes 34th St 14,"312 West 34th Street, New York, NY 10001, United States of America"
N/A,New York,11215,232,3rd Street,New York,232 3rd Street,"New York, NY 11215, United States of America"
Site: Brooklyn,New York,11215,165,7th Street,New York,Site: Brooklyn,"165 7th Street, New York, NY 11215, United States of America"
Manhattan Center,New York,10001,311,West 34th Street,New York,Manhattan Center,"311 West 34th Street, New York, NY 10001, United States of America"
The Morgan Library & Museum,New York,10016,N/A,East 36th Street,New York,The Morgan Library & Museum,"East 36th Street, New York, NY 10016, United States of America"
Grand Avenue Workshop,New York,11238,290,Grand Avenue,New York,Grand Avenue Workshop,"290 Grand Avenue, New York, NY 11238, United States of America"
Side pony tail - comedy,New York,11211,594,Union Avenue,New York,Side pony tail - comedy,"594 Union Avenue, New York, NY 11211, United States of America"
Super Secret Arts,New York,11215,400,3rd Avenue,New York,Super Secret Arts,"400 3rd Avenue, New York, NY 11215, United States of America"
Ibeam Brooklyn,New York,11215,168,7th Street,New York,Ibeam Brooklyn,"168 7th Street, New York, NY 11215, United States of America"
Sharon Simmons Art Gallery,New York,11217,127,6th Avenue,New York,Sharon Simmons Art Gallery,"127 6th Avenue, New York, NY 11217, United States of America"
Principles GI Coffee House,New York,11215,139,9th Street,New York,Principles GI Coffee House,"139 9th Street, New York, NY 11215, United States of America"
Bklyn Clay,New York,11238,535,Carlton Avenue,New York,Bklyn Clay,"535 Carlton Avenue, New York, NY 11238, United States of America"
Barcade,New York,11211,388,Union Avenue,New York,Barcade,"388 Union Avenue, New York, NY 11211, United States of America"
17 Frost Gallery,New York,11211,17,Frost Street,New York,17 Frost Gallery,"17 Frost Street, New York, NY 11211, United States of America"
St. Hrouda,New York,11215,227,5th Avenue,New York,St. Hrouda,"227 5th Avenue, New York, NY 11215, United States of America"
Hoboken Historical Museum,Hoboken,07030,1301,Hudson Street,New Jersey,Hoboken Historical Museum,"1301 Hudson Street, Hoboken, NJ 07030, United States of America"
Abingdon Theatre Complex,New York,10018,312,West 36th Street,New York,Abingdon Theatre Complex,"312 West 36th Street, New York, NY 10018, United States of America"
The Tank,New York,10018,312,West 36th Street,New York,The Tank,"312 West 36th Street, New York, NY 10018, United States of America"
Monroe Center for the Arts,Hoboken,07030,623,Monroe Street,New Jersey,Monroe Center for the Arts,"623 Monroe Street, Hoboken, NJ 07030, United States of America"
Shipwrecked,New York,11231,621,Court Street,New York,Shipwrecked,"621 Court Street, New York, NY 11231, United States of America"
Dieu Donne,New York,10018,315,West 36th Street,New York,Dieu Donne,"315 West 36th Street, New York, NY 10018, United States of America"
National Comedy Theater,New York,10018,347,West 36th Street,New York,National Comedy Theater,"347 West 36th Street, New York, NY 10018, United States of America"
Craftsman Ave,New York,11215,117B,11th Street,New York,Craftsman Ave,"117B 11th Street, New York, NY 11215, United States of America"
The Brick,New York,11211,579,Metropolitan Avenue,New York,The Brick,"579 Metropolitan Avenue, New York, NY 11211, United States of America"
Soapbox Gallery,New York,11238,636,Dean Street,New York,Soapbox Gallery,"636 Dean Street, New York, NY 11238, United States of America"
Spoke the Hub,New York,11215,748,Union Street,New York,Spoke the Hub,"748 Union Street, New York, NY 11215, United States of America"
Old Stone House,New York,11215,336,3rd Street,New York,Old Stone House,"336 3rd Street, New York, NY 11215, United States of America"
J.J. Byrne Playground,New York,11215,N/A,3rd Street,New York,J.J. Byrne Playground,"3rd Street, New York, NY 11215, United States of America"
Lafayette Gardens Playground,New York,11225,N/A,Franklin Avenue,New York,Lafayette Gardens Playground,"Franklin Avenue, New York, NY 11225, United States of America"
Ocean's 8,New York,11238,308,Flatbush Avenue,New York,Ocean's 8,"308 Flatbush Avenue, New York, NY 11238, United States of America"
Museum of Food and Drink,New York,11222,62,Bayard Street,New York,Museum of Food and Drink,"62 Bayard Street, New York, NY 11222, United States of America"
Ripley-Grier Flexible Spaces,New York,10018,305,West 38th Street,New York,Ripley-Grier Flexible Spaces,"305 West 38th Street, New York, NY 10018, United States of America"
The AKC Museum of the Dog,New York,10016,101,Park Avenue,New York,The AKC Museum of the Dog,"101 Park Avenue, New York, NY 10016, United States of America"
BAC,New York,10018,450,West 37th Street,New York,BAC,"450 West 37th Street, New York, NY 10018, United States of America"
The Escape Game New York City,New York,10017,295,Madison Avenue,New York,The Escape Game New York City,"295 Madison Avenue, New York, NY 10017, United States of America"
