tranportation,city,postcode,housenumber,street,state,address1,address2
Beekman Tower,New York,10017,N/A,Mitchell Place,New York,Beekman Tower,"Mitchell Place, New York, NY 10017, United States of America"
Mayfair,New York,10019,242,West 49th Street,New York,Mayfair,"242 West 49th Street, New York, NY 10019, United States of America"
Belvedere Hotel,New York,10036,319,West 48th Street,New York,Belvedere Hotel,"319 West 48th Street, New York, NY 10036, United States of America"
Lotte New York Palace,New York,10022,455,Madison Avenue,New York,Lotte New York Palace,"455 Madison Avenue, New York, NY 10022, United States of America"
The Benjamin Royal Sonesta New York,New York,10022,125,East 50th Street,New York,The Benjamin Royal Sonesta New York,"125 East 50th Street, New York, NY 10022, United States of America"
The Kimberly,New York,10022,145,East 50th Street,New York,The Kimberly,"145 East 50th Street, New York, NY 10022, United States of America"
Ramada by Wyndham Jersey City,Jersey City,07306,65,Tonnelle Avenue,New Jersey,Ramada by Wyndham Jersey City,"65 Tonnelle Avenue, Jersey City, NJ 07306, United States of America"
The Fifty Sonesta Select New York,New York,10022,155,East 50th Street,New York,The Fifty Sonesta Select New York,"155 East 50th Street, New York, NY 10022, United States of America"
Doubletree by Hilton Hotel Metropolitan,New York,10022,569,Lexington Avenue,New York,Doubletree by Hilton Hotel Metropolitan,"569 Lexington Avenue, New York, NY 10022, United States of America"
The Pod Hotel,New York,10022,230,East 51st Street,New York,The Pod Hotel,"230 East 51st Street, New York, NY 10022, United States of America"
citizenM,New York,10019,218,West 50th Street,New York,citizenM,"218 West 50th Street, New York, NY 10019, United States of America"
The Michelangelo,New York,10019,152,West 51st Street,New York,The Michelangelo,"152 West 51st Street, New York, NY 10019, United States of America"
Radisson Hotel,New York,10019,25,West 51st Street,New York,Radisson Hotel,"25 West 51st Street, New York, NY 10019, United States of America"
Club Quarters,New York,10019,25,West 51st Street,New York,Club Quarters,"25 West 51st Street, New York, NY 10019, United States of America"
Park Avenue Apartments,New York,11206,869,Park Avenue,New York,Park Avenue Apartments,"869 Park Avenue, New York, NY 11206, United States of America"
Hilton Garden Inn,New York,10022,206,East 52nd Street,New York,Hilton Garden Inn,"206 East 52nd Street, New York, NY 10022, United States of America"
Holiday Inn Express,New York,10036,538,West 48th Street,New York,Holiday Inn Express,"538 West 48th Street, New York, NY 10036, United States of America"
