tranportation,city,postcode,street,state,address2,longitude,latitude
Warren Street,Jersey City,07302,Hudson River Waterfront Walkway,New Jersey,"Hudson River Waterfront Walkway, Jersey City, NJ 07302, United States of America",-74.0402156,40.7110052
Smith Street & Livingston Street,New York,11231,Smith Street,New York,"Smith Street, New York, NY 11231, United States of America",-73.9878988,40.6906343
Washington Boulevard at Path Station,Jersey City,07310,Washington Boulevard,New Jersey,"Washington Boulevard, Jersey City, NJ 07310, United States of America",-74.0351295,40.7266181
Union Square East & East 15th Street,New York,10003,Union Square East,New York,"Union Square East, New York, NY 10003, United States of America",-73.9894355,40.7356909
6th Avenue & West 15th Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-73.9963057,40.7378835
Avenue C & East 12th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9769646,40.7268519
East 10th Street & Avenue D,New York,10009,East 10th Street,New York,"East 10th Street, New York, NY 10009, United States of America",-73.975642,40.7251766
Union Square East & East 15th Street,New York,10003,Union Square East,New York,"Union Square East, New York, NY 10003, United States of America",-73.989394,40.7357648
East 10th Street & Avenue D,New York,10009,East 10th Street,New York,"East 10th Street, New York, NY 10009, United States of America",-73.9753771,40.7248953
14th Street,New York,10011,West 15th Street,New York,"West 15th Street, New York, NY 10011, United States of America",-73.9963408,40.7380466
1 Av & E 14 St,New York,10009,1st Avenue service road,New York,"1st Avenue service road, New York, NY 10009, United States of America",-73.9820505,40.7318647
Livingston Street & Smith Street,New York,11217,Livingston Street,New York,"Livingston Street, New York, NY 11217, United States of America",-73.9875919,40.6904489
West 14th Street & 7th Avenue,New York,10011,West 14th Street,New York,"West 14th Street, New York, NY 10011, United States of America",-73.9999913,40.7387902
East 14th Street & Avenue A,New York,10009,East 14th Street,New York,"East 14th Street, New York, NY 10009, United States of America",-73.9801788,40.7304331
Flushing Avenue & North Portland Avenue,New York,11251,Flushing Avenue,New York,"Flushing Avenue, New York, NY 11251, United States of America",-73.9771086,40.6981794
East 10th Street & Avenue D,New York,10009,East 10th Street,New York,"East 10th Street, New York, NY 10009, United States of America",-73.9749744,40.7248343
Court Street & Amity Street,New York,11231,Court Street,New York,"Court Street, New York, NY 11231, United States of America",-73.993215,40.6880793
Livingston Street & Smith Street,New York,11217,Livingston Street,New York,"Livingston Street, New York, NY 11217, United States of America",-73.9875126,40.6902266
Grand Street at Van Vorst Street,Jersey City,07304,Grand Street,New Jersey,"Grand Street, Jersey City, NJ 07304, United States of America",-74.0408622,40.715731
Avenue C & East 12th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9763607,40.727276
2nd Avenue & East 17th Street,New York,10035,2nd Avenue,New York,"2nd Avenue, New York, NY 10035, United States of America",-73.9840195,40.7337897
West 14th Street & 8th Avenue,New York,10011,West 14th Street,New York,"West 14th Street, New York, NY 10011, United States of America",-74.0022105,40.7395074
Flushing Avenue & North Portland Avenue,New York,11237,Flushing Avenue,New York,"Flushing Avenue, New York, NY 11237, United States of America",-73.9764621,40.6979984
5th Avenue & West 17th Street,New York,10035,5th Avenue,New York,"5th Avenue, New York, NY 10035, United States of America",-73.9925121,40.7377025
Newport,Jersey City,07310,Mall Drive East,New Jersey,"Mall Drive East, Jersey City, NJ 07310, United States of America",-74.0360637,40.727029
Brooklyn Navy Yard Ferry Station,New York,11251,5th Street,New York,"5th Street, New York, NY 11251, United States of America",-73.9735899,40.7018174
Atlantic Avenue & Smith Street,New York,11208,Atlantic Avenue,New York,"Atlantic Avenue, New York, NY 11208, United States of America",-73.9894756,40.6888117
East 14th Street & Avenue B,New York,10009,Avenue B,New York,"Avenue B, New York, NY 10009, United States of America",-73.9778674,40.7294626
Hoboken NJ Transit Terminal,Hoboken,07030,,New Jersey,"Hoboken, NJ 07030, United States of America",-74.0265592,40.7350368
8th Avenue,New York,10011,West 14th Street,New York,"West 14th Street, New York, NY 10011, United States of America",-74.0027381,40.7398753
8th Avenue & West 14th Street,New York,10011,8th Avenue,New York,"8th Avenue, New York, NY 10011, United States of America",-74.0022991,40.7398474
Yankee Pier,New York,10004,Craig Road South,New York,"Craig Road South, New York, NY 10004, United States of America",-74.0165035,40.6867676
Smith Street & Atlantic Avenue,New York,11231,Smith Street,New York,"Smith Street, New York, NY 11231, United States of America",-73.9889288,40.6888103
Washington Boulevard at Newport Parkway,Jersey City,07310,Washington Boulevard,New Jersey,"Washington Boulevard, Jersey City, NJ 07310, United States of America",-74.0349424,40.7289093
West 14th Street & 8th Avenue,New York,10011,West 14th Street,New York,"West 14th Street, New York, NY 10011, United States of America",-74.0029242,40.7400232
Washington Boulevard at Newport Parkway,Jersey City,07310,Washington Boulevard,New Jersey,"Washington Boulevard, Jersey City, NJ 07310, United States of America",-74.0343603,40.7296886
Hoyt Street,New York,11201,Fulton Mall,New York,"Fulton Mall, New York, NY 11201, United States of America",-73.9849862,40.6905128
Livingston Street & Hoyt Street,New York,11217,Livingston Street,New York,"Livingston Street, New York, NY 11217, United States of America",-73.9861393,40.6898832
Hoboken Terminal,Hoboken,07030,Warrington Plaza,New Jersey,"Warrington Plaza, Hoboken, NJ 07030, United States of America",-74.0273829,40.7349447
Hoboken Terminal,Hoboken,07030,Hoboken Newport Walkway- Hudson River Waterfront Walkway,New Jersey,"Hoboken Newport Walkway- Hudson River Waterfront Walkway, Hoboken, NJ 07030, United States of America",-74.02979681191528,40.733914549999994
Fulton Street & Duffield Street,New York,11201,Fulton Mall,New York,"Fulton Mall, New York, NY 11201, United States of America",-73.9848954,40.6904983
,New York,11211,Kent Avenue,New York,"New York, NY 11211, United States of America",-73.9702653,40.7087612
Park Avenue & East 18th Street,New York,10016,Park Avenue South,New York,"Park Avenue South, New York, NY 10016, United States of America",-73.9885376,40.7369949
East 14th Street & Avenue C,New York,10009,East 14th Street,New York,"East 14th Street, New York, NY 10009, United States of America",-73.9760172,40.7284611
Atlantic Avenue & Smith Street,New York,11208,Atlantic Avenue,New York,"Atlantic Avenue, New York, NY 11208, United States of America",-73.9888161,40.6883833
East 14th Street & Avenue C,New York,10009,East 14th Street Service Road,New York,"East 14th Street Service Road, New York, NY 10009, United States of America",-73.9760065,40.728688
Court Street & Warren Street,New York,11231,Court Street,New York,"Court Street, New York, NY 11231, United States of America",-73.9939799,40.6865157
14th Street,New York,10011,West 15th Street,New York,"West 15th Street, New York, NY 10011, United States of America",-74.0019976,40.7404638
Grand Street at Luis Munoz Marin Boulevard,Jersey City,07304,Grand Street,New Jersey,"Grand Street, Jersey City, NJ 07304, United States of America",-74.0424915,40.7159122
Christopher Columbus Drive at Groove Street,Jersey City,07302,Christopher Columbus Drive,New Jersey,"Christopher Columbus Drive, Jersey City, NJ 07302, United States of America",-74.0418012,40.7190399
Avenue C & East 14th Street,New York,10009,Avenue C,New York,"Avenue C, New York, NY 10009, United States of America",-73.9756569,40.7286767
Flushing Avenue & Cumberland Street,New York,11251,Flushing Avenue,New York,"Flushing Avenue, New York, NY 11251, United States of America",-73.974572,40.6980452
6th Avenue & West 18th Street,New York,10011,West 18th Street,New York,"West 18th Street, New York, NY 10011, United States of America",-73.9949695,40.7396937
Grand Street at Luis Munoz Marin Boulevard,Jersey City,07304,Grand Street,New Jersey,"Grand Street, Jersey City, NJ 07304, United States of America",-74.0428688,40.7158153
Grove Street,Jersey City,07302,Christopher Columbus Drive,New Jersey,"Christopher Columbus Drive, Jersey City, NJ 07302, United States of America",-74.0421003,40.7192583
Flushing Avenue & Cumberland Street,New York,11237,Flushing Avenue,New York,"Flushing Avenue, New York, NY 11237, United States of America",-73.9743717,40.6979155
Newport Centre Mall,Jersey City,07310,Mall Drive West,New Jersey,"Mall Drive West, Jersey City, NJ 07310, United States of America",-74.0387652,40.7262407
