tranportation,city,postcode,street,state,address2,longitude,latitude
Pier 11/Wall Street Terminal,New York,10041,Pier 11,New York,"Pier 11, New York, NY 10041, United States of America",-74.0055003,40.7024303
Pike Street & Division Street,New York,10002,Pike Street,New York,"Pike Street, New York, NY 10002, United States of America",-73.9924556,40.714292
Black Deagon Bus Station,New York,10002,Pike Street,New York,"5 Pike Street, New York, NY 10002, United States of America",-73.9923707,40.7140311
East Broadway & Pike Street,New York,10002,East Broadway,New York,"East Broadway, New York, NY 10002, United States of America",-73.9923568,40.7139649
6th Avenue & Grand Street,New York,10019,6th Avenue,New York,"6th Avenue, New York, NY 10019, United States of America",-74.0047813,40.7232474
Bowery & Grand Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9945839,40.7186815
Water St & Broad St,New York,10004,Water Street,New York,"Water Street, New York, NY 10004, United States of America",-74.0110364,40.7029911
Madison Street & Pike Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9921108,40.7125651
Varick Street & Watts Street,New York,10005,Varick Street,New York,"Varick Street, New York, NY 10005, United States of America",-74.0063252,40.7233967
Madison Street & Pike Street,New York,10002,Madison Street,New York,"Madison Street, New York, NY 10002, United States of America",-73.9919308,40.7124131
Grand Street,New York,10002,Grand Street,New York,"New York, NY 10002, United States of America",-73.9937839,40.7181616
East Broadway & Pike Street,New York,10002,East Broadway,New York,"East Broadway, New York, NY 10002, United States of America",-73.9919045,40.713828
Battery Place & Washington Street,New York,10280,Battery Place,New York,"Battery Place, New York, NY 10280, United States of America",-74.01598,40.7050219
FlixBus NYC 28 Allen St.,New York,10002,Allen Street,New York,"Allen Street, New York, NY 10002, United States of America",-73.9919789,40.7156519
Whitehall Street–South Ferry,New York,10004,Whitehall Street,New York,"Whitehall Street, New York, NY 10004, United States of America",-74.012994,40.7030869
Broad Street & Water Street,New York,10004,Broad Street,New York,"Broad Street, New York, NY 10004, United States of America",-74.0114869,40.7024141
Allen Street & Hester Street,New York,10002,Allen Street,New York,"Allen Street, New York, NY 10002, United States of America",-73.992053,40.7164057
Broadway & Spring Street,New York,10003,Broadway,New York,"Broadway, New York, NY 10003, United States of America",-73.9991105,40.7227645
State Street & Bridge Street,New York,10004,State Street,New York,"State Street, New York, NY 10004, United States of America",-74.0145434,40.7033643
Bowery & Kenmare Street,New York,10012,Bowery,New York,"Bowery, New York, NY 10012, United States of America",-73.9943007,40.7200372
Spring Street,New York,10012,Lafayette Street,New York,"Lafayette Street, New York, NY 10012, United States of America",-73.9971855,40.7223025
Battery Place & West Street,New York,10280,Battery Place,New York,"Battery Place, New York, NY 10280, United States of America",-74.0176055,40.705203
East Broadway & Rutgers Street,New York,10002,East Broadway,New York,"East Broadway, New York, NY 10002, United States of America",-73.9907397,40.7140988
6th Avenue & Broome Street,New York,10005,6th Avenue,New York,"6th Avenue, New York, NY 10005, United States of America",-74.0042985,40.7244711
Battery Place / West Street,New York,10280,Battery Park City Greenway,New York,"Battery Park City Greenway, New York, NY 10280, United States of America",-74.0175292,40.7049282
DUMBO/BBP Pier 1,New York,11201,Brooklyn Bridge Park Greenway,New York,"Brooklyn Bridge Park Greenway, New York, NY 11201, United States of America",-73.9958496,40.703735
Bowery,New York,10002,Delancey Street,New York,"Delancey Street, New York, NY 10002, United States of America",-73.99372,40.7202174
Rutgers Street & Canal Street,New York,10002,Rutgers Street,New York,"Rutgers Street, New York, NY 10002, United States of America",-73.9902952,40.7141543
South Street & Whitehall Street,New York,10038,South Street,New York,"South Street, New York, NY 10038, United States of America",-74.0120843,40.7016459
East Broadway,New York,10002,Rutgers Street,New York,"Rutgers Street, New York, NY 10002, United States of America",-73.990173,40.713715
Allen Street & Grand Street,New York,10002,Allen Street,New York,"Allen Street, New York, NY 10002, United States of America",-73.9911872,40.7171791
South Ferry/Terminal,New York,10004,Peter Minuit Plaza,New York,"Peter Minuit Plaza, New York, NY 10004, United States of America",-74.0136924,40.7021052
Essex Street & Canal Street,New York,10002,Essex Street,New York,"Essex Street, New York, NY 10002, United States of America",-73.9901174,40.7146755
South St & Whitehall St,New York,10038,South Street,New York,"South Street, New York, NY 10038, United States of America",-74.0124253,40.7015792
South Ferry,New York,10004,Peter Minuit Plaza,New York,"Peter Minuit Plaza, New York, NY 10004, United States of America",-74.0131489,40.7017103
Allen Street & Grand Street,New York,10002,Allen Street,New York,"Allen Street, New York, NY 10002, United States of America",-73.990959,40.7176001
Staten Island Ferry Whitehall Terminal,New York,10004,South Street,New York,"4 South Street, New York, NY 10004, United States of America",-74.01305535394461,40.70096425
