Hotel Name,address2,housenumber,street,city,postcode,Advertised Price,Total Price,longitude,latitude
Franklin Guesthouse,"214 Franklin Street, New York, NY 11222, United States of America",214,Franklin Street,New York,11222,405.26,468.7,-73.9578889,40.7330027
Haiban Inn,"789 Newark Avenue, Jersey City, NJ 07306, United States of America",789,Newark Avenue,Jersey City,7306,117.69,137.46,-74.06467918381308,40.73531445
Hampton Inn Manhattan-35th St/Empire State Bldg,"59 West 35th Street, New York, NY 10001, United States of America",59,West 35th Street,New York,10001,306.85,355.9,-73.98635146455203,40.75034225
Hampton Inn Manhattan-Seaport-Financial District,"320 Pearl Street, New York, NY 10038, United States of America",320,Pearl Street,New York,10038,235.74,274.05,-74.0020306569709,40.70887925
Heritage Hotel,"18 West 25th Street, New York, NY 10001, United States of America",18,West 25th Street,New York,10001,262.21,304.35,-73.9900361,40.7432835
Hilton New York Fashion District,"150 West 26th Street, New York, NY 10001, United States of America",150,West 26th Street,New York,10001,314.31,364.35,-73.9936036,40.745587
Hotel 32 32,"32 East 32nd Street, New York, NY 10016, United States of America",32,East 32nd Street,New York,10016,308.52,386.06,-73.98343980807232,40.7460234
Hotel 57,"130 East 57th Street, New York, NY 10022, United States of America",130,East 57th Street,New York,10022,273.15,363.19,-73.9695830804261,40.7608096
Hotel Hayden,"137 West 28th Street, New York, NY 10001, United States of America",137,West 28th Street,New York,10001,360.56,453.9,-73.9921509,40.7468751
Hotel Hendricks,"25 West 38th Street, New York, NY 10018, United States of America",25,West 38th Street,New York,10018,349.33,438.69,-73.98408144317747,40.7517801
Hotel Riu Plaza New York Times Square,"305 West 46th Street, New York, NY 10036, United States of America",305,West 46th Street,New York,10036,344.58,431.93,-73.98818985034285,40.7602347
Hotel Riu Plaza New York Times Square,"305 West 46th Street, New York, NY 10036, United States of America",305,West 46th Street,New York,10036,344.58,431.93,-73.9881913,40.7602133
Hotel St. James,"109 West 45th Street, New York, NY 10036, United States of America",109,West 45th Street,New York,10036,265.51,308.22,-73.98318532682146,40.75720905
Hyatt Herald Square New York,"30 West 31st Street, New York, NY 10001, United States of America",30,West 31st Street,New York,10001,310.9,382.96,-73.98767833613178,40.74698765
Hyatt Regency Jersey City on the Hudson,"2 Exchange Place, Jersey City, NJ 07032, United States of America",2,Exchange Place,Jersey City,7032,322.09,375.59,-74.03197235680304,40.71709905
Hyatt Union Square New York,"134 4th Avenue, New York, NY 10003, United States of America",134,4th Avenue,New York,10003,395.54,491.84,-73.99021175777796,40.7334345
