Hotel Name,Advertised Price,Total Price
"EVEN Midtown East Grand Central, an IHG Hotel",298.32,372.86
East Village Hotel,334.24,387.08
Edge Hotel,244.38,283.92
Element Harrison - Newark,239.89,274.93
Element New York Times Square West,320.39,371.27
Element New York Wood Ridge,265.52,304.39
Element Spring Valley,204.25,227.43
Elmhurst Hotel,300.80,348.40
Embassy Suites Newark Airport,220.56,252.64
Embassy Suites by Hilton New York Manhattan Times Square,312.04,391.70
Empire Hotel,317.82,391.22
Enjoy Comfort and Convenience on your Vacation!,333.50,437.00
Entire Luxury 2 Bedroom Near NY/EWR With Workspace,170.00,263.25
Entire Rental - 2 bedroom ❤️ Manhattan Skyline view ❤️ 10 minutes to Times Sq ,235.00,420.00
"Envue, Autograph Collection",280.15,321.12
Equinox Hotel New York,552.16,306.61
Essence Express Wayne,289.31,331.54
Eurostars Wall Street,267.89,310.70
Excellent Location! Steps to Newark Penn Station!,148.00,268.00
Executive Class at MTS Hotel,352.79,443.44
Executive Hotel Le Soleil New York,374.63,448.40
Extended Stay America Suites Elizabeth Newark Airport,141.98,166.24
Extended Stay America Suites Meadowlands East Rutherford,149.37,176.07
Extended Stay America Suites Meadowlands Rutherford,145.79,171.29
Extended Stay America Suites New York City LaGuardia Airport,231.94,269.60
Extended Stay America Suites Newark Woodbridge,112.98,129.62
Extended Stay America Suites Ramsey Upper Saddle River,113.43,130.16
Extended Stay America Suites Secaucus Meadowlands,169.13,199.23
Extended Stay America Suites Secaucus New York City Area,199.82,235.15
Extended Stay America Suites White Plains Elmsford,176.65,202.12
Fairfield Inn & Suites New York Manhattan / Central Park,414.20,478.70
Fairfield Inn & Suites New York Manhattan/Downtown East,292.30,339.03
Fairfield Inn & Suites New York Manhattan/Times Square South,305.03,353.67
Fairfield Inn & Suites New York Midtown Manhattan/Penn Station,391.02,451.86
Fairfield Inn & Suites New York Queens/Fresh Meadows,209.91,244.41
Fairfield Inn & Suites Newark Liberty International Airport,157.24,181.00
Fairfield Inn & Suites by Marriott New York Brooklyn,343.62,397.76
Fairfield Inn & Suites by Marriott New York ManhattanChelsea,307.90,336.48
Fairfield Inn & Suites by Marriott New York Staten Island,174.26,203.56
Fairfield Inn & Suites by Marriott North Bergen,208.32,245.09
Fairfield Inn & Suites by Marriott Paramus,172.31,197.69
Fairfield Inn & Suites by Marriott Woodbridge,171.26,196.63
Fairfield Inn New York Manhattan/Financial District,316.94,367.26
Fairfield Inn by Marriott East Rutherford Meadowlands,182.88,215.19
Fairfield Inn by Marriott JFK Airport,239.03,277.90
Fairfield Inn by Marriott LaGuardia Airport/Flushing,224.22,260.87
Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,274.00,318.00
Fairfield Inn by Marriott New York Manhattan/Fifth Avenue,431.94,330.61
Fairfield Inn by Marriott New York Manhattan/Times Square,395.14,436.28
Family Friendly Three Bedroom Apartment outside of NYC,225.00,356.67
Fathoms Hotel & Marina,421.00,469.80
Feather Factory,206.50,240.44
Fitzpatrick Grand Central,301.12,371.98
Fitzpatrick Manhattan Hotel,336.23,412.39
Five Towns Inn - JFK Airport,231.80,258.60
Flushing Central Hotel,178.59,208.39
Flushing Hotel,130.36,153.21
Four Points By Sheraton Manhattan Midtown West,383.42,443.58
Four Points By Sheraton New York Downtown,336.80,390.18
Four Points by Sheraton Flushing,291.27,306.55
Four Points by Sheraton Manhattan - Chelsea,407.96,471.61
Four Points by Sheraton Manhattan SoHo Village,296.41,343.86
Four Points by Sheraton Midtown-Times Square,329.98,382.18
Four Seasons Hotel New York Downtown,601.28,386.84
Franklin Guesthouse,405.26,468.70
Freehand New York,253.25,328.46
Gansevoort Meatpacking,558.41,679.26
"Gild Hall, A Thompson Hotel",310.52,412.52
Global Luxury Suites at The Arches,335.85,479.65
Graduate New York,340.47,458.38
Grandview Hotel New York,139.20,163.50
Grayson Hotel in the Unbound Collection by Hyatt,261.33,334.83
