Hotel Name,Advertised Price,Total Price
"Club Quarters Hotel, Grand Central",The price is $224,$261 total
Hotel Boutique at Grand Central,The price is $224,$261 total
Radio Hotel,The price is $225,$262 total
Hotel Mimosa,The price is $225,$262 total
LIC Hotel,The price is $226,$262 total
"Vista LIC Hotel, BW Premier Collection",The price is $229,$266 total
Marco LaGuardia Hotel,The price is $229,$266 total
Hyatt Place New York/Yonkers,The price is $229,$263 total
Residence Inn Secaucus Meadowlands,The price is $229,$269 total
Residence Inn By Marriott New Rochelle,The price is $233,$267 total
Comfort Inn Manhattan - Midtown West,The price is $234,$272 total
"EVEN Hotel Brooklyn, an IHG Hotel",The price is $237,$292 total
"Crowne Plaza JFK Airport New York City, an IHG Hotel",The price is $237,$277 total
The Holland Hotel,The price is $239,$279 total
The One Boutique Hotel,The price is $239,$278 total
Inn at Great Neck,The price is $239,$267 total
Home2 Suites By Hilton New York Times Square,The price is $245,$285 total
La Quinta Inn & Suites by Wyndham Times Square South,The price is $246,$307 total
Sheraton Lincoln Harbor Hotel,The price is $246,$282 total
"The Bernic Hotel New York City, Tapestry Collection by Hilton",The price is $247,$287 total
Arlo Midtown,The price is $248,$317 total
SoHo 54 Hotel,The price is $249,$324 total
Wyndham Garden Chinatown,The price is $249,$289 total
Casa Blanca Hotel Brooklyn,The price is $249,$289 total
Four Points by Sheraton Flushing,The price is $251,$292 total
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",The price is $251,$294 total
Aloft Manhattan Downtown - Financial District,The price is $251,$292 total
Orchard Street Hotel,The price is $254,$310 total
DoubleTree by Hilton Hotel & Suites Jersey City,The price is $255,$297 total
"Holiday Inn NYC - Lower East Side, an IHG Hotel",The price is $256,$299 total
Hyatt Grand Central New York,The price is $257,$344 total
Motto by Hilton New York City Chelsea,The price is $257,$332 total
YOTEL New York Times Square,The price is $258,$342 total
Ramada by Wyndham Flushing Queens,The price is $259,$301 total
Courtyard by Marriott Edgewater NYC Area,The price is $259,$297 total
Aloft Long Island City - Manhattan View,The price is $259,$301 total
Placemakr Wall Street,The price is $260,$404 total
Sonesta Simply Suites Jersey City,The price is $260,$303 total
Freehand New York,The price is $260,$336 total
Moderne Hotel,The price is $260,$325 total
Renaissance New York Flushing Hotel at Tangram,The price is $260,$302 total
Broadway Plaza Hotel,The price is $261,$315 total
OYO Times Square,The price is $263,$349 total
HI New York City,The price is $263,$263 total
Radisson Hotel New Rochelle,The price is $264,$316 total
Tarrytown House Estate on the Hudson,The price is $269,$328 total
"Envue, Autograph Collection",The price is $269,$308 total
Truss Hotel Times Square ,The price is $269,$312 total
Rockville Centre Hotel,The price is $270,$301 total
TownePlace Suites by Marriott New York Manhattan/Chelsea,The price is $272,$316 total
HGU New York,The price is $273,$316 total
Hyatt House Jersey City,The price is $275,$320 total
Doubletree by Hilton New York Times Square South,The price is $275,$319 total
Arlo SoHo,The price is $275,$348 total
Millennium Downtown New York,The price is $278,$358 total
Henn na Hotel New York,The price is $278,$346 total
Hyatt Place Long Island City/New York City,The price is $278,$323 total
The Hotel @ Fifth Avenue,The price is $279,$344 total
Redford Hotel,The price is $279,$339 total
Royalton New York,The price is $280,$365 total
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $281,$326 total
"Holiday Inn Express & Suites Jersey City North - Hoboken, an IHG Hotel",The price is $281,$328 total
Cambria Hotel New York - Chelsea,The price is $281,$326 total
Hampton Inn New York Times Square,The price is $282,$327 total
Hilton Garden Inn New York/West 35th Street,The price is $283,$328 total
Hyatt Place Flushing/LaGuardia Airport,The price is $283,$328 total
"Holiday Inn Express - New York City Chelsea, an IHG Hotel",The price is $284,$349 total
"Holiday Inn Express Brooklyn - Bushwick, an IHG Hotel",The price is $284,$349 total
Hampton Inn Manhattan Grand Central,The price is $285,$330 total
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",The price is $285,$332 total
Corona Hotel,The price is $285,$331 total
Millennium Hilton New York One UN Plaza,The price is $287,$362 total
"Club Quarters Hotel, World Trade Center",The price is $287,$333 total
World Center Hotel,The price is $287,$333 total
Four Points by Sheraton Manhattan SoHo Village,The price is $287,$333 total
Hyatt House New York/Chelsea,The price is $288,$338 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $288,$334 total
Radisson Hotel JFK Airport,The price is $289,$335 total
CIVILIAN Hotel,The price is $289,$335 total
Artezen Hotel,The price is $289,$351 total
Wingate by Wyndham Bronx/Haven Park,The price is $289,$335 total
Best Western Premier Empire State Hotel,The price is $290,$336 total
Iberostar 70 Park Avenue,The price is $293,$364 total
Four Points by Sheraton Manhattan - Chelsea,The price is $294,$340 total
Arlo NoMad,The price is $294,$370 total
Hotel 57,The price is $294,$387 total
