Hotel Name,Advertised Price,Total Price
"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",The price is $180,$212 total
DoubleTree by Hilton Hotel Newark Airport,The price is $180,$208 total
"Watt Hotel Rahway, Tapestry Collection by Hilton",The price is $183,$210 total
Red Lion Inn & Suites Long Island City,The price is $183,$214 total
Hyatt Place Fort Lee / George Washington Bridge,The price is $184,$211 total
Comfort Suites Newark - Harrison,The price is $184,$212 total
Red Carpet Inn Elmwood Park,The price is $185,$212 total
Steinway Hotel,The price is $185,$216 total
The Park Ave North,The price is $185,$216 total
Extended Stay America Suites White Plains Elmsford,The price is $185,$212 total
Hampton Inn Garden City Long Island,The price is $186,$208 total
Feather Factory,The price is $188,$219 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $188,$220 total
Courtyard by Marriott Wayne Fairfield,The price is $188,$215 total
The Flat NYC,The price is $188,$219 total
Cambria Hotel West Orange,The price is $188,$216 total
Delta Hotels by Marriott Woodbridge,The price is $188,$216 total
DoubleTree by Hilton Newark Penn Station,The price is $189,$217 total
"Holiday Inn Express Hotel & Suites Meadowlands Area, an IHG Hotel",The price is $189,$222 total
Elmhurst Hotel,The price is $189,$220 total
Flushing Central Hotel,The price is $189,$220 total
Boutique Hotel in the Heart of Long Island's North Shore,The price is $189,$238 total
La Quinta Inn & Suites by Wyndham Clifton/Rutherford,The price is $189,$217 total
Courtyard by Marriott Lyndhurst Meadowlands,The price is $189,$222 total
Best Western Fort Lee,The price is $189,$219 total
Homewood Suites by Hilton Teaneck Glenpointe,The price is $189,$217 total
Rockaway Hotel Brooklyn,The price is $190,$222 total
The Floral Park Motor Lodge,The price is $190,$216 total
Hampton Inn & Suites Staten Island,The price is $192,$224 total
Best Western Queens Gold Coast,The price is $193,$225 total
Homewood Suites by Hilton Newark-Cranford,The price is $194,$222 total
"The Westfield Inn, BW Signature Collection",The price is $195,$217 total
Embassy Suites Newark Airport,The price is $195,$223 total
Renaissance Newark Airport Hotel,The price is $195,$223 total
The Grand Summit Hotel,The price is $195,$224 total
Courtyard by Marriott Newark Elizabeth,The price is $195,$228 total
