Hotel Name,Advertised Price,Total Price
SpringHill Suites by Marriott Tuckahoe Westchester County,The price is $238,$272 total
Mondrian Park Avenue,The price is $239,$314 total
Wyndham Garden Chinatown,The price is $239,$278 total
Moxy NYC Downtown,The price is $239,$306 total
Comfort Inn Edgewater on Hudson River,The price is $239,$274 total
Marriott Park Ridge,The price is $239,$274 total
Residence Inn by Marriott Wayne,The price is $239,$274 total
Best Western Mill River Manor,The price is $240,$268 total
Washington Square Hotel,The price is $240,$280 total
Comfort Inn & Suites near Stadium,The price is $241,$280 total
Ameritania Hotel at Times Square,The price is $242,$304 total
Residence Inn by Marriott White Plains Westchester County,The price is $242,$277 total
"Holiday Inn Brooklyn Downtown, an IHG Hotel",The price is $242,$283 total
Wingate by Wyndham New York Midtown South/5th Ave,The price is $243,$282 total
Executive Class at MTS Hotel,The price is $244,$319 total
Condor Hotel,The price is $244,$284 total
TBA Times Square,The price is $245,$289 total
Wyndham Garden Brooklyn Sunset Park,The price is $245,$294 total
The Lombardy Hotel,The price is $246,$297 total
Cachet Boutique New York,The price is $246,$310 total
TRYP by Wyndham New York City Times Square / Midtown,The price is $246,$308 total
HYATT house White Plains,The price is $246,$281 total
Hudson River Hotel,The price is $246,$286 total
"Holiday Inn Express New York City- Wall Street, an IHG Hotel",The price is $246,$305 total
Heritage Hotel,The price is $246,$286 total
"EVEN Hotel Brooklyn, an IHG Hotel",The price is $246,$303 total
3 West Club,The price is $246,$286 total
"Crowne Plaza Saddle Brook, an IHG Hotel",The price is $247,$283 total
Fitzpatrick Grand Central,The price is $248,$311 total
Fitzpatrick Manhattan Hotel,The price is $248,$311 total
The Westin New York Grand Central,The price is $249,$324 total
CIVILIAN Hotel,The price is $249,$289 total
Hotel Mulberry,The price is $249,$289 total
Pod Brooklyn,The price is $249,$312 total
Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,The price is $249,$289 total
Hyatt Place New York/Yonkers,The price is $249,$286 total
Midtown Convention Center Hotel,The price is $250,$305 total
6 Columbus Central Park Hotel,The price is $250,$325 total
Eurostars Wall Street,The price is $250,$290 total
Hilton Garden Inn New York/Midtown Park Ave,The price is $250,$290 total
Mam Homes ,The price is $250,$392 total
"The Time New York, part of JdV by Hyatt",The price is $251,$326 total
Grayson Hotel in the Unbound Collection by Hyatt,The price is $251,$329 total
Home2 Suites by Hilton NY Long Island City/Manhattan View,The price is $251,$293 total
Four Points by Sheraton Midtown-Times Square,The price is $251,$292 total
Millennium Downtown New York,The price is $251,$327 total
"Candlewood Suites New York City-Times Square, an IHG Hotel",The price is $251,$311 total
Wyndham Garden Long Island City,The price is $251,$292 total
Hampton Inn Manhattan-Chelsea,The price is $252,$292 total
Homewood Suites by Hilton Newark-Cranford,The price is $252,$289 total
Pestana Park Avenue,The price is $252,$316 total
Hotel Richland LES,The price is $252,$313 total
Hotel 48LEX New York,The price is $252,$345 total
Royalton New York,The price is $254,$335 total
"Holiday Inn Express New York City Times Square, an IHG Hotel",The price is $254,$312 total
Hampton Inn Manhattan Grand Central,The price is $254,$295 total
Homewood Suites by Hilton East Rutherford - Meadowlands,The price is $254,$299 total
Cambria Hotel White Plains - Downtown,The price is $254,$291 total
Sonesta Simply Suites Jersey City,The price is $254,$297 total
Courtyard by Marriott West Orange,The price is $256,$293 total
"Holiday Inn Express Roslyn - Manhasset Area, an IHG Hotel",The price is $256,$289 total
Liberty View Brooklyn hotel,The price is $256,$297 total
The Wall Street Inn,The price is $257,$298 total
Comfort Inn Manhattan - Midtown West,The price is $258,$300 total
"EVEN Midtown East Grand Central, an IHG Hotel",The price is $259,$328 total
Jazz On The Park Hostel,The price is $259,$301 total
Aloft New York Brooklyn,The price is $259,$303 total
Renaissance Meadowlands Hotel,The price is $259,$305 total
The James New York - NoMad,The price is $259,$347 total
Courtyard by Marriott New York Queens/Fresh Meadows,The price is $260,$302 total
Broadway Plaza Hotel,The price is $260,$313 total
Artezen Hotel,The price is $260,$318 total
City Club Hotel,The price is $260,$327 total
Moxy NYC Times Square,The price is $260,$336 total
Fairfield Inn & Suites New York Manhattan/Downtown East,The price is $260,$302 total
SpringHill Suites by Marriott New York JFK Airport/Jamaica,The price is $260,$302 total
Comfort Inn JFK Airport,The price is $261,$303 total
Motto by Hilton New York City Chelsea,The price is $261,$337 total
Hampton Inn Garden City Long Island,The price is $261,$292 total
Comfort Inn Prospect Park - Brooklyn,The price is $263,$305 total
"Le Meridien New York, Fifth Avenue",The price is $263,$305 total
Newark Liberty International Airport Marriott,The price is $263,$303 total
Fairfield Inn & Suites by Marriott New York ManhattanChelsea,The price is $263,$305 total
Hyatt Place Fort Lee / George Washington Bridge,The price is $263,$302 total
Hilton Garden Inn New York/Manhattan-Chelsea,The price is $264,$306 total
"Distrikt Hotel New York City, Tapestry Collection by Hilton",The price is $264,$330 total
"Staypineapple, An Artful Hotel, Midtown",The price is $265,$336 total
The Evelyn Hotel,The price is $265,$339 total
Courtyard Jersey City Newport,The price is $265,$309 total
"Holiday Inn Express Brooklyn - Bushwick, an IHG Hotel",The price is $265,$327 total
"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",The price is $265,$310 total
Courtyard by Marriott Rye,The price is $265,$303 total
Embassy Suites Newark Airport,The price is $266,$305 total
