Hotel Name,Advertised Price,Total Price
Night Hotel Broadway,The price is $214,$264 total
Hampton Inn Woodbridge,The price is $215,$246 total
Marriott Saddle Brook,The price is $215,$246 total
Residence Inn by Marriott Saddle River,The price is $215,$246 total
Fairfield Inn by Marriott LaGuardia Airport/Flushing,The price is $215,$251 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $216,$251 total
"Holiday Inn Newark International Airport, an IHG Hotel",The price is $217,$250 total
Baymont by Wyndham White Plains - Elmsford,The price is $219,$250 total
The One Boutique Hotel,The price is $219,$255 total
Marriott Park Ridge,The price is $219,$251 total
Fairfield Inn & Suites by Marriott Woodbridge,The price is $220,$252 total
Jeliscar's listing,The price is $220,$579 total
The FIDI Hotel,The price is $220,$291 total
Element Harrison - Newark,The price is $224,$257 total
Cambria Hotel West Orange,The price is $224,$257 total
Best Western Plus Newark Airport West,The price is $224,$258 total
Homewood Suites by Hilton Teaneck Glenpointe,The price is $224,$257 total
Homewood Suites by Hilton East Rutherford - Meadowlands,The price is $226,$266 total
Extended Stay America Suites New York City LaGuardia Airport,The price is $228,$265 total
Days Inn by Wyndham Brooklyn Marine Park,The price is $229,$270 total
LaGuardia Plaza Hotel,The price is $229,$266 total
Ink 48 Hotel,The price is $229,$312 total
SpringHill Suites by Marriott East Rutherford Meadowlands/Carlstadt,The price is $229,$269 total
Hyatt Place Fort Lee / George Washington Bridge,The price is $229,$263 total
Chelsea Pines Inn,The price is $231,$268 total
Ramada by Wyndham Bronx,The price is $232,$270 total
Royal Regency Hotel,The price is $232,$277 total
Wyndham Garden North Bergen Near Secaucus,The price is $233,$274 total
Ramada by Wyndham Rockville Centre,The price is $233,$260 total
Relax and rejuvenate in this Hideaway Apartment close to public transportation .,The price is $233,$444 total
The Redbury New York,The price is $234,$306 total
OYO Times Square,The price is $234,$316 total
The Vue Inn Brooklyn,The price is $236,$274 total
"Crowne Plaza Newark Airport, an IHG Hotel",The price is $237,$271 total
Casa Blanca Hotel Brooklyn,The price is $237,$275 total
"Holiday Inn Express & Suites Jersey City North - Hoboken, an IHG Hotel",The price is $237,$276 total
Courtyard by Marriott Newark Elizabeth,The price is $237,$278 total
DoubleTree by Hilton Newark Penn Station,The price is $237,$273 total
Embassy Suites Newark Airport,The price is $238,$273 total
Paramount Times Square,The price is $239,$317 total
Pod 51,The price is $239,$301 total
"The L Hotel, Ascend Hotel Collection",The price is $239,$278 total
Comfort Inn Edgewater on Hudson River,The price is $239,$274 total
DoubleTree by Hilton Hotel Nanuet,The price is $241,$268 total
Fairfield Inn & Suites New York Queens/Fresh Meadows,The price is $241,$280 total
Marco LaGuardia Hotel,The price is $241,$280 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $242,$283 total
"Insignia Hotel, Ascend Hotel Collection",The price is $246,$285 total
Renaissance Newark Airport Hotel,The price is $246,$282 total
Moxy NYC Times Square,The price is $246,$320 total
Best Western Jamaica Inn,The price is $246,$286 total
DoubleTree by Hilton New York Downtown,The price is $247,$287 total
The Baltic Hotel,The price is $247,$299 total
Homewood Suites by Hilton Edgewater,The price is $247,$283 total
Feather Factory,The price is $248,$288 total
Best Western Premier Empire State Hotel,The price is $248,$289 total
SoHo 54 Hotel,The price is $249,$324 total
Fairfield Inn & Suites by Marriott North Bergen,The price is $249,$293 total
Quality Inn JFK Airport Rockaway Blvd,The price is $249,$293 total
Residence Inn by Marriott Wayne,The price is $249,$285 total
Courtyard by Marriott Montvale,The price is $249,$285 total
The Manhattan at Times Square Hotel,The price is $250,$331 total
Mam Homes ,The price is $250,$392 total
Hotel Mimosa,The price is $250,$290 total
The Lodge Red Hook,The price is $251,$291 total
Courtyard by Marriott Yonkers Westchester County,The price is $251,$288 total
Courtyard by Marriott New York World Trade Center Area,The price is $251,$292 total
The Gallivant Times Square,The price is $251,$309 total
Knights Inn Brooklyn Sunset Park,The price is $251,$295 total
Freehand New York,The price is $252,$327 total
Orchard Street Hotel,The price is $252,$308 total
Comfort Inn Brooklyn,The price is $252,$293 total
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",The price is $253,$296 total
Home2 Suites by Hilton Hasbrouck Heights,The price is $253,$290 total
Moxy NYC Downtown,The price is $254,$324 total
Wyndham Garden LaGuardia South,The price is $254,$295 total
DoubleTree by Hilton Hotel Newark Airport,The price is $254,$293 total
The Fifty Sonesta Select New York,The price is $254,$342 total
Hotel Richland LES,The price is $255,$316 total
Residence Inn Orangeburg,The price is $256,$285 total
Hudson River Hotel,The price is $256,$297 total
Courtyard by Marriott New York Queens/Fresh Meadows,The price is $256,$297 total
Courtyard Long Island City/New York Manhattan View,The price is $256,$297 total
"Holiday Inn Express & Suites Jersey City - Holland Tunnel, an IHG Hotel",The price is $256,$299 total
The Ridge Hotel,The price is $257,$367 total
SpringHill Suites by Marriott New York JFK Airport/Jamaica,The price is $257,$298 total
Hotel 48LEX New York,The price is $258,$352 total
Pod 39,The price is $259,$324 total
Jazz On The Park Hostel,The price is $259,$301 total
The Holland Hotel,The price is $259,$302 total
"Vista LIC Hotel, BW Premier Collection",The price is $259,$301 total
Residence Inn By Marriott West Orange,The price is $259,$297 total
Millennium Hilton New York One UN Plaza,The price is $259,$331 total
YOTEL New York Times Square,The price is $259,$344 total
Element New York Wood Ridge,The price is $260,$298 total
The Shelburne Sonesta New York,The price is $260,$347 total
Moderne Hotel,The price is $260,$325 total
"Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",The price is $260,$304 total
Comfort Inn & Suites near Stadium,The price is $262,$304 total
Best Western Premier NYC Gateway Hotel,The price is $262,$311 total
Hampton Inn Manhattan/Downtown-Financial District,The price is $263,$305 total
"Club Quarters Hotel, Grand Central",The price is $263,$305 total
Hotel Boutique at Grand Central,The price is $263,$305 total
Aloft New York LaGuardia Airport,The price is $263,$305 total
Comfort Inn JFK Airport,The price is $264,$306 total
Fairfield Inn by Marriott JFK Airport,The price is $265,$307 total
Corona Hotel,The price is $265,$308 total
"Holiday Inn Express New York City- Wall Street, an IHG Hotel",The price is $265,$327 total
Courtyard by Marriott West Orange,The price is $265,$304 total
"Distrikt Hotel New York City, Tapestry Collection by Hilton",The price is $265,$331 total
Ameritania Hotel at Times Square,The price is $266,$331 total
Dream Midtown,The price is $266,$341 total
Madison LES Hotel,The price is $266,$332 total
Five Towns Inn - JFK Airport,The price is $266,$297 total
La Quinta Inn & Suites by Wyndham New York City Central Park,The price is $269,$345 total
Pod Times Square,The price is $269,$335 total
Hyatt Centric Wall Street New York,The price is $269,$341 total
Opera House Hotel,The price is $269,$329 total
APA Hotel Woodbridge,The price is $269,$308 total
"Envue, Autograph Collection",The price is $269,$308 total
Four Points by Sheraton Midtown-Times Square,The price is $269,$312 total
Courtyard by Marriott Newark Downtown,The price is $269,$310 total
"Hotel Indigo - NYC Downtown - Wall Street, an IHG Hotel",The price is $270,$344 total
Best Western Mill River Manor,The price is $270,$301 total
Fairfield Inn New York Manhattan/Financial District,The price is $271,$315 total
Wyndham Garden Long Island City,The price is $271,$315 total
Edge Hotel,The price is $272,$316 total
"Club Quarters Hotel, World Trade Center",The price is $272,$316 total
World Center Hotel,The price is $272,$316 total
Comfort Inn Manhattan - Midtown West,The price is $272,$316 total
Liberty View Brooklyn hotel,The price is $273,$316 total
Residence Inn Woodbridge Edison/Raritan Center,The price is $273,$313 total
"Holiday Inn Express Maspeth, an IHG Hotel",The price is $274,$320 total
Homewood Suites by Hilton Edison Woodbridge,The price is $274,$315 total
The Frederick Hotel,The price is $275,$350 total
Chelsea Mews Guest House All Male,The price is $275,$319 total
Hilton Woodcliff Lake,The price is $275,$315 total
Chelsea Inn,The price is $276,$389 total
Pestana Park Avenue,The price is $276,$343 total
Grayson Hotel in the Unbound Collection by Hyatt,The price is $276,$358 total
Fitzpatrick Manhattan Hotel,The price is $278,$345 total
Artezen Hotel,The price is $278,$339 total
Doxie Hotel,The price is $278,$323 total
"Staypineapple, An Artful Hotel, Midtown",The price is $279,$352 total
The Westin New York Grand Central,The price is $279,$358 total
Mondrian Park Avenue,The price is $279,$360 total
"The Cloud One New York-Downtown, by the Motel One Group",The price is $279,$324 total
Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,The price is $279,$324 total
Courtyard by Marriott Wayne Fairfield,The price is $279,$320 total
Residence Inn by Marriott Yonkers Westchester County,The price is $279,$321 total
Hotel 57,The price is $279,$370 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $280,$324 total
"The Lexington Hotel, Autograph Collection",The price is $280,$359 total
Sheraton Brooklyn New York Hotel,The price is $280,$324 total
Moxy NYC Lower East Side,The price is $280,$355 total
"Holiday Inn Brooklyn Downtown, an IHG Hotel",The price is $280,$327 total
Millennium Hotel Broadway Times Square,The price is $281,$390 total
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $281,$326 total
"Club Quarters, Times Square - Midtown",The price is $281,$326 total
TBA Times Square,The price is $281,$331 total
