Hotel Name,Advertised Price,Total Price
Chelsea Inn,The price is $273,$386 total
LaGuardia Plaza Hotel,The price is $275,$319 total
SpringHill Suites by Marriott New York JFK Airport/Jamaica,The price is $275,$319 total
Fairfield Inn by Marriott JFK Airport,The price is $278,$323 total
Fairfield Inn by Marriott New York LaGuardia Airport/Astoria,The price is $279,$324 total
The Gatsby Hotel,The price is $280,$368 total
TRYP by Wyndham New York City Times Square / Midtown,The price is $280,$347 total
Radisson Hotel New Rochelle,The price is $281,$336 total
Wyndham Garden Brooklyn Sunset Park,The price is $284,$339 total
Courtyard by Marriott Tarrytown Westchester County,The price is $284,$325 total
La Quinta Inn & Suites by Wyndham Garden City,The price is $284,$321 total
Corona Hotel,The price is $284,$329 total
"Holiday Inn Brooklyn Downtown, an IHG Hotel",The price is $284,$331 total
Hilton Garden Inn Queens/JFK Airport,The price is $284,$330 total
"Envue, Autograph Collection",The price is $287,$329 total
"Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",The price is $287,$335 total
Hilton New York JFK Airport,The price is $287,$333 total
Hotel Mulberry,The price is $289,$335 total
SpringHill Suites by Marriott Tarrytown Westchester County,The price is $289,$331 total
Marriott Park Ridge,The price is $289,$331 total
"Holiday Inn Express New Rochelle, an IHG Hotel",The price is $289,$331 total
Hyatt House Jersey City,The price is $290,$338 total
HI New York City,The price is $293,$293 total
Renaissance New York Flushing Hotel at Tangram,The price is $296,$343 total
Moxy NYC Downtown,The price is $297,$373 total
Red Roof PLUS+ Long Island - Garden City,The price is $299,$334 total
The Gallivant Times Square,The price is $299,$364 total
Sheraton Tribeca New York Hotel,The price is $299,$347 total
Sonesta Simply Suites Jersey City,The price is $299,$349 total
Rockville Centre Hotel,The price is $300,$335 total
Hilton Pearl River,The price is $301,$335 total
Chelsea Pines Inn,The price is $304,$352 total
Teaneck Marriott at Glenpointe,The price is $304,$348 total
Hyatt Centric Wall Street New York,The price is $305,$382 total
Courtyard by Marriott New York JFK Airport,The price is $305,$354 total
"Holiday Inn Westbury - Long Island, an IHG Hotel",The price is $305,$341 total
TownePlace Suites by Marriott New York Manhattan/Chelsea,The price is $307,$356 total
SoHo 54 Hotel,The price is $309,$392 total
Fairfield Inn & Suites New York Queens/Fresh Meadows,The price is $309,$358 total
Wingate by Wyndham Bronx/Haven Park,The price is $309,$358 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,The price is $311,$361 total
Aloft Manhattan Downtown - Financial District,The price is $312,$362 total
Hudson River Hotel,The price is $313,$363 total
Courtyard by Marriott New York Manhattan/Midtown West,The price is $313,$363 total
Hampton Inn White Plains/Tarrytown,The price is $314,$370 total
The Ridge Hotel,The price is $314,$433 total
Millennium Downtown New York,The price is $314,$399 total
Four Points by Sheraton Manhattan SoHo Village,The price is $314,$364 total
