tranportation,city,postcode,housenumber,street,state,address1,address2
Wall Street,New York,10038,N/A,William Street,New York,Wall Street,"William Street, New York, NY 10038, United States of America"
Broadway & Walker Street,New York,10003,N/A,Broadway,New York,Broadway & Walker Street,"Broadway, New York, NY 10003, United States of America"
East Broadway & Catherine Street,New York,10278,N/A,Catherine Street,New York,East Broadway & Catherine Street,"Catherine Street, New York, NY 10278, United States of America"
Madison Street & Catherine Street,New York,10002,N/A,Madison Street,New York,Madison Street & Catherine Street,"Madison Street, New York, NY 10002, United States of America"
Varick Street & North Moore Street,New York,10014,N/A,Varick Street,New York,Varick Street & North Moore Street,"Varick Street, New York, NY 10014, United States of America"
West Street & Chambers Street,New York,10282,N/A,West Street,New York,West Street & Chambers Street,"West Street, New York, NY 10282, United States of America"
Madison Street & Catherine Street,New York,10038,N/A,Madison Street,New York,Madison Street & Catherine Street,"Madison Street, New York, NY 10038, United States of America"
Trinity Place/Rector Street,New York,10006,N/A,Trinity Place,New York,Trinity Place/Rector Street,"Trinity Place, New York, NY 10006, United States of America"
Broadway & Rector Street,New York,10003,N/A,Broadway,New York,Broadway & Rector Street,"Broadway, New York, NY 10003, United States of America"
Chinatowns Communter Van,New York,10002,N/A,Division Street,New York,Chinatowns Communter Van,"Division Street, New York, NY 10002, United States of America"
Trinity Place & Rector Street,New York,10006,N/A,Trinity Place,New York,Trinity Place & Rector Street,"Trinity Place, New York, NY 10006, United States of America"
Canal Street,New York,10013,N/A,Centre Street,New York,Canal Street,"Centre Street, New York, NY 10013, United States of America"
Canal Street,New York,10013,N/A,Canal Street,New York,Canal Street,"New York, NY 10013, United States of America"
Canal Street,New York,10013,N/A,Lafayette Street,New York,Canal Street,"Lafayette Street, New York, NY 10013, United States of America"
N/A,New York,10013,N/A,Walker Street,New York,Walker Street,"New York, NY 10013, United States of America"
Harrison Street & West Street,New York,10013,N/A,Harrison Street,New York,Harrison Street & West Street,"Harrison Street, New York, NY 10013, United States of America"
Hudson Street & North Moore Street,New York,10014,N/A,Hudson Street,New York,Hudson Street & North Moore Street,"Hudson Street, New York, NY 10014, United States of America"
