hotel,city,postcode,housenumber,street,state,address1,address2
McCarren Hotel & Pool,New York,11249,160,North 12th Street,New York,McCarren Hotel & Pool,"160 North 12th Street, New York, NY 11249, United States of America"
The Gregory Hotel,New York,10001,42,West 35th Street,New York,The Gregory Hotel,"42 West 35th Street, New York, NY 10001, United States of America"
U Hotel Fifth Avenue,New York,10035,373,5th Avenue,New York,U Hotel Fifth Avenue,"373 5th Avenue, New York, NY 10035, United States of America"
Hotel Indigo,New York,11211,500,Metropolitan Avenue,New York,Hotel Indigo,"500 Metropolitan Avenue, New York, NY 11211, United States of America"
The Kixby,New York,10001,45,West 35th Street,New York,The Kixby,"45 West 35th Street, New York, NY 10001, United States of America"
Fairfield Inn,New York,10001,325,West 33rd Street,New York,Fairfield Inn,"325 West 33rd Street, New York, NY 10001, United States of America"
Hampton Inn Manhattan-35th St/Empire State Bldg,New York,10001,59,West 35th Street,New York,Hampton Inn Manhattan-35th St/Empire State Bldg,"59 West 35th Street, New York, NY 10001, United States of America"
Hilton Garden Inn,New York,10001,63,West 35th Street,New York,Hilton Garden Inn,"63 West 35th Street, New York, NY 10001, United States of America"
Renaissance,New York,10001,218,West 35th Street,New York,Renaissance,"218 West 35th Street, New York, NY 10001, United States of America"
LeSoleil,New York,10018,38,West 36th Street,New York,LeSoleil,"38 West 36th Street, New York, NY 10018, United States of America"
Best Western Herald Square,New York,10018,50,West 36th Street,New York,Best Western Herald Square,"50 West 36th Street, New York, NY 10018, United States of America"
Hyatt Place New York/Midtown-South,New York,10018,52,West 36th Street,New York,Hyatt Place New York/Midtown-South,"52 West 36th Street, New York, NY 10018, United States of America"
Holiday Inn Express,New York,10018,60,West 36th Street,New York,Holiday Inn Express,"60 West 36th Street, New York, NY 10018, United States of America"
Pendry Manhattan West,New York,10001,438,West 33rd Street,New York,Pendry Manhattan West,"438 West 33rd Street, New York, NY 10001, United States of America"
The New Yorker,New York,10001,481,8th Avenue,New York,The New Yorker,"481 8th Avenue, New York, NY 10001, United States of America"
Henn Na Hotel,New York,10001,235,West 35th Street,New York,Henn Na Hotel,"235 West 35th Street, New York, NY 10001, United States of America"
Oakwood Furnished Apartments,New York,10016,554,3rd Avenue,New York,Oakwood Furnished Apartments,"554 3rd Avenue, New York, NY 10016, United States of America"
Embassy Suites by Hilton,New York,10018,60,West 37th Street,New York,Embassy Suites by Hilton,"60 West 37th Street, New York, NY 10018, United States of America"
Illumination Bed & Breakfast,New York,11238,138,Saint James Place,New York,Illumination Bed & Breakfast,"138 Saint James Place, New York, NY 11238, United States of America"
The Shelburne Sonesta New York,New York,10016,303,Lexington Avenue,New York,The Shelburne Sonesta New York,"303 Lexington Avenue, New York, NY 10016, United States of America"
Fairfield Inn,New York,10018,21,West 37th Street,New York,Fairfield Inn,"21 West 37th Street, New York, NY 10018, United States of America"
EVEN Hotel New York - Times Square South,New York,10018,321,West 35th Street,New York,EVEN Hotel New York - Times Square South,"321 West 35th Street, New York, NY 10018, United States of America"
SpringHill Suites,New York,10018,25,West 37th Street,New York,SpringHill Suites,"25 West 37th Street, New York, NY 10018, United States of America"
Mason Civic League,Hoboken,07030,N/A,12th Street,New Jersey,Mason Civic League,"12th Street, Hoboken, NJ 07030, United States of America"
35 Hudson Yards,New York,10001,35,Hudson Boulevard West,New York,35 Hudson Yards,"35 Hudson Boulevard West, New York, NY 10001, United States of America"
Madison Towers Hotel,New York,10016,22,East 38th Street,New York,Madison Towers Hotel,"22 East 38th Street, New York, NY 10016, United States of America"
"Marriott Vacation Club, New York City",New York,10018,33,West 37th Street,New York,"Marriott Vacation Club, New York City","33 West 37th Street, New York, NY 10018, United States of America"
The Kitano New York,New York,10016,66,Park Avenue,New York,The Kitano New York,"66 Park Avenue, New York, NY 10016, United States of America"
Equinox,New York,10001,32,Hudson Boulevard West,New York,Equinox,"32 Hudson Boulevard West, New York, NY 10001, United States of America"
Franklin Guesthouse,New York,11222,214,Franklin Street,New York,Franklin Guesthouse,"214 Franklin Street, New York, NY 11222, United States of America"
Crowne Plaza,New York,10018,320,West 36th Street,New York,Crowne Plaza,"320 West 36th Street, New York, NY 10018, United States of America"
TRYP,New York,10018,345,West 35th Street,New York,TRYP,"345 West 35th Street, New York, NY 10018, United States of America"
Hotel le Bleu,New York,11215,370,4th Avenue,New York,Hotel le Bleu,"370 4th Avenue, New York, NY 11215, United States of America"
Fairfield Inn & Suites,New York,10018,338,West 36th Street,New York,Fairfield Inn & Suites,"338 West 36th Street, New York, NY 10018, United States of America"
Courtyard by Marriott,New York,10001,461,West 34th Street,New York,Courtyard by Marriott,"461 West 34th Street, New York, NY 10001, United States of America"
Hyatt Centric 39th & 5th New York,New York,10016,16,East 39th Street,New York,Hyatt Centric 39th & 5th New York,"16 East 39th Street, New York, NY 10016, United States of America"
Novo,New York,10016,151,East 38th Street,New York,Novo,"151 East 38th Street, New York, NY 10016, United States of America"
Radisson Hotel,New York,10018,525,8th Avenue,New York,Radisson Hotel,"525 8th Avenue, New York, NY 10018, United States of America"
Iberostar,New York,10016,70,Park Avenue,New York,Iberostar,"70 Park Avenue, New York, NY 10016, United States of America"
Hotel Hendricks,New York,10018,25,West 38th Street,New York,Hotel Hendricks,"25 West 38th Street, New York, NY 10018, United States of America"
Archer Hotel,New York,10018,45,West 38th Street,New York,Archer Hotel,"45 West 38th Street, New York, NY 10018, United States of America"
The William,New York,10016,24,East 39th Street,New York,The William,"24 East 39th Street, New York, NY 10016, United States of America"
Staypineapple,New York,10018,337,West 36th Street,New York,Staypineapple,"337 West 36th Street, New York, NY 10018, United States of America"
Refinery,New York,10018,63,West 38th Street,New York,Refinery,"63 West 38th Street, New York, NY 10018, United States of America"
Hotel Central Times Square,New York,10018,N/A,West 36th Street,New York,Hotel Central Times Square,"West 36th Street, New York, NY 10018, United States of America"
Americana Inn,New York,10018,69,West 38th Street,New York,Americana Inn,"69 West 38th Street, New York, NY 10018, United States of America"
"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY",New York,10018,312,West 37th Street,New York,"Homewood Suites by Hilton New York/Midtown Manhattan Times Square-South, NY","312 West 37th Street, New York, NY 10018, United States of America"
Greenpoint Branch YMCA,New York,11222,95,Meserole Avenue,New York,Greenpoint Branch YMCA,"95 Meserole Avenue, New York, NY 11222, United States of America"
Hilton Garden Inn,New York,10018,326,West 37th Street,New York,Hilton Garden Inn,"326 West 37th Street, New York, NY 10018, United States of America"
POD 39,New York,10016,145,East 39th Street,New York,POD 39,"145 East 39th Street, New York, NY 10016, United States of America"
Murray Hill East Suites,New York,10016,149,East 39th Street,New York,Murray Hill East Suites,"149 East 39th Street, New York, NY 10016, United States of America"
Courtyard,New York,10018,307,West 37th Street,New York,Courtyard,"307 West 37th Street, New York, NY 10018, United States of America"
Residence Inn Manhattan/Times Square,New York,10019,1033,6th Avenue,New York,Residence Inn Manhattan/Times Square,"1033 6th Avenue, New York, NY 10019, United States of America"
Quality Inn,New York,10018,442,West 36th Street,New York,Quality Inn,"442 West 36th Street, New York, NY 10018, United States of America"
Seton Hotel,New York,10016,144,East 40th Street,New York,Seton Hotel,"144 East 40th Street, New York, NY 10016, United States of America"
The Renwick Hotel,New York,10016,118,East 40th Street,New York,The Renwick Hotel,"118 East 40th Street, New York, NY 10016, United States of America"
Doxie Hotel,New York,10018,273,West 38th Street,New York,Doxie Hotel,"273 West 38th Street, New York, NY 10018, United States of America"
Park Terrace Hotel,New York,10018,16,West 40th Street,New York,Park Terrace Hotel,"16 West 40th Street, New York, NY 10018, United States of America"
Bryant Park Hotel,New York,10018,40,West 40th Street,New York,Bryant Park Hotel,"40 West 40th Street, New York, NY 10018, United States of America"
Courtyard New York Manhattan/Fifth Avenue,New York,10017,3,East 40th Street,New York,Courtyard New York Manhattan/Fifth Avenue,"3 East 40th Street, New York, NY 10017, United States of America"
Dylan Hotel,New York,10017,52,East 41st Street,New York,Dylan Hotel,"52 East 41st Street, New York, NY 10017, United States of America"
Holiday Inn,New York,10018,585,8th Avenue,New York,Holiday Inn,"585 8th Avenue, New York, NY 10018, United States of America"
La Quinta Inn & Suites,New York,10018,333,West 38th Street,New York,La Quinta Inn & Suites,"333 West 38th Street, New York, NY 10018, United States of America"
Hyatt Place,New York,10018,350,West 39th Street,New York,Hyatt Place,"350 West 39th Street, New York, NY 10018, United States of America"
LUMA Hotel Times Square,New York,10036,120,West 41st Street,New York,LUMA Hotel Times Square,"120 West 41st Street, New York, NY 10036, United States of America"
Library Hotel,New York,10017,299,Madison Avenue,New York,Library Hotel,"299 Madison Avenue, New York, NY 10017, United States of America"
Artel Hotel,New York,10018,305,West 39th Street,New York,Artel Hotel,"305 West 39th Street, New York, NY 10018, United States of America"
Element,New York,10018,311,West 39th Street,New York,Element,"311 West 39th Street, New York, NY 10018, United States of America"
Andaz,New York,10017,485,5th Avenue,New York,Andaz,"485 5th Avenue, New York, NY 10017, United States of America"
The Westin New York Grand Central,New York,10017,212,East 42nd Street,New York,The Westin New York Grand Central,"212 East 42nd Street, New York, NY 10017, United States of America"
Hampton,New York,10018,337,West 39th Street,New York,Hampton,"337 West 39th Street, New York, NY 10018, United States of America"
Aliz Hotel Times Square,New York,10018,310,West 40th Street,New York,Aliz Hotel Times Square,"310 West 40th Street, New York, NY 10018, United States of America"
Candlewood Suites,New York,10018,339,West 39th Street,New York,Candlewood Suites,"339 West 39th Street, New York, NY 10018, United States of America"
Holiday Inn Express,New York,10018,343,West 39th Street,New York,Holiday Inn Express,"343 West 39th Street, New York, NY 10018, United States of America"
Aloft,New York,10018,450,11th Avenue,New York,Aloft,"450 11th Avenue, New York, NY 10018, United States of America"
Equity Point,New York,10018,206,West 41st Street,New York,Equity Point,"206 West 41st Street, New York, NY 10018, United States of America"
Truss Hotel Times Square,New York,10018,515,9th Avenue,New York,Truss Hotel Times Square,"515 9th Avenue, New York, NY 10018, United States of America"
Hampton,New York,10018,220,West 41st Street,New York,Hampton,"220 West 41st Street, New York, NY 10018, United States of America"
Four Points by Sheraton,New York,10018,326,West 40th Street,New York,Four Points by Sheraton,"326 West 40th Street, New York, NY 10018, United States of America"
Staybridge Suites,New York,10018,340,West 40th Street,New York,Staybridge Suites,"340 West 40th Street, New York, NY 10018, United States of America"
The Knickerbocker Hotel,New York,10036,6,Times Square,New York,The Knickerbocker Hotel,"6 Times Square, New York, NY 10036, United States of America"
Fairfield Inn & Suites,New York,10018,330,West 40th Street,New York,Fairfield Inn & Suites,"330 West 40th Street, New York, NY 10018, United States of America"
Distrikt Hotel,New York,10018,342,West 40th Street,New York,Distrikt Hotel,"342 West 40th Street, New York, NY 10018, United States of America"
DoubleTree by Hilton Hotel New York Times Square West,New York,10018,350,West 40th Street,New York,DoubleTree by Hilton Hotel New York Times Square West,"350 West 40th Street, New York, NY 10018, United States of America"
Best Western Convention Center,New York,10018,522,West 38th Street,New York,Best Western Convention Center,"522 West 38th Street, New York, NY 10018, United States of America"
Westgate New York Grand Central Hotel,New York,10017,304,East 42nd Street,New York,Westgate New York Grand Central Hotel,"304 East 42nd Street, New York, NY 10017, United States of America"
Hilton Garden Inn,New York,10036,136,West 42nd Street,New York,Hilton Garden Inn,"136 West 42nd Street, New York, NY 10036, United States of America"
Grand Hyatt New York,New York,10017,109,Lexington Avenue,New York,Grand Hyatt New York,"109 Lexington Avenue, New York, NY 10017, United States of America"
La Quinta,New York,11215,531-533,3rd Avenue,New York,La Quinta,"531-533 3rd Avenue, New York, NY 11215, United States of America"
Hilton,New York,10018,350,West 40th Street,New York,Hilton,"350 West 40th Street, New York, NY 10018, United States of America"
tba,New York,10018,340,West 40th Street,New York,tba,"340 West 40th Street, New York, NY 10018, United States of America"
Hampton,New York,10017,231,East 43rd Street,New York,Hampton,"231 East 43rd Street, New York, NY 10017, United States of America"
Royalton New York,New York,10036,44,West 44th Street,New York,Royalton New York,"44 West 44th Street, New York, NY 10036, United States of America"
The Westin,New York,10036,270,8th Avenue,New York,The Westin,"270 8th Avenue, New York, NY 10036, United States of America"
Casablanca Hotel,New York,10036,147,West 43rd Street,New York,Casablanca Hotel,"147 West 43rd Street, New York, NY 10036, United States of America"
The Chatwal,New York,10036,130,West 44th Street,New York,The Chatwal,"130 West 44th Street, New York, NY 10036, United States of America"
Fitzpatrick Grand Central Hotel,New York,10017,141,East 44th Street,New York,Fitzpatrick Grand Central Hotel,"141 East 44th Street, New York, NY 10017, United States of America"
EVEN Hotel Midtown East,New York,10017,219,East 44th Street,New York,EVEN Hotel Midtown East,"219 East 44th Street, New York, NY 10017, United States of America"
Iroquois New York Hotel,New York,10036,49,West 44th Street,New York,Iroquois New York Hotel,"49 West 44th Street, New York, NY 10036, United States of America"
Sofitel,New York,10036,45,West 44th Street,New York,Sofitel,"45 West 44th Street, New York, NY 10036, United States of America"
City Club Hotel,New York,10036,55,West 44th Street,New York,City Club Hotel,"55 West 44th Street, New York, NY 10036, United States of America"
The Pod Times Square,New York,10036,400,West 42nd Street,New York,The Pod Times Square,"400 West 42nd Street, New York, NY 10036, United States of America"
Box House Hotel,New York,11222,77,Box Street,New York,Box House Hotel,"77 Box Street, New York, NY 11222, United States of America"
Algonquin Hotel,New York,10036,59,West 44th Street,New York,Algonquin Hotel,"59 West 44th Street, New York, NY 10036, United States of America"
hotel mela,New York,10036,120,West 44th Street,New York,hotel mela,"120 West 44th Street, New York, NY 10036, United States of America"
AKA Times Square,New York,10036,123,West 44th Street,New York,AKA Times Square,"123 West 44th Street, New York, NY 10036, United States of America"
Millennium Hilton One UN Plaza,New York,10017,1,1st Avenue,New York,Millennium Hilton One UN Plaza,"1 1st Avenue, New York, NY 10017, United States of America"
United Nations Apartment Hotel,New York,10017,302,East 45th Street,New York,United Nations Apartment Hotel,"302 East 45th Street, New York, NY 10017, United States of America"
Club Quarters Hotel,New York,10017,128,East 45th Street,New York,Club Quarters Hotel,"128 East 45th Street, New York, NY 10017, United States of America"
Millennium Broadway,New York,10036,145,West 44th Street,New York,Millennium Broadway,"145 West 44th Street, New York, NY 10036, United States of America"
Yotel New York,New York,10036,570,10th Avenue,New York,Yotel New York,"570 10th Avenue, New York, NY 10036, United States of America"
Cassa Hotel,New York,10036,70,West 45th Street,New York,Cassa Hotel,"70 West 45th Street, New York, NY 10036, United States of America"
Club Quarter Hôtel,New York,10036,40,West 45th Street,New York,Club Quarter Hôtel,"40 West 45th Street, New York, NY 10036, United States of America"
Night Theater District,New York,10036,132,West 45th Street,New York,Night Theater District,"132 West 45th Street, New York, NY 10036, United States of America"
InterContinental New York Times Square,New York,10036,300,West 44th Street,New York,InterContinental New York Times Square,"300 West 44th Street, New York, NY 10036, United States of America"
Club Wyndham Midtown 45,New York,10017,205,East 45th Street,New York,Club Wyndham Midtown 45,"205 East 45th Street, New York, NY 10017, United States of America"
Citadines Connect,New York,10036,15,West 45th Street,New York,Citadines Connect,"15 West 45th Street, New York, NY 10036, United States of America"
TownePlace Suites,New York,10036,N/A,West 44th Street,New York,TownePlace Suites,"West 44th Street, New York, NY 10036, United States of America"
Gotham Hotel,New York,10017,16,East 46th Street,New York,Gotham Hotel,"16 East 46th Street, New York, NY 10017, United States of America"
Hotel St. James,New York,10036,109,West 45th Street,New York,Hotel St. James,"109 West 45th Street, New York, NY 10036, United States of America"
The Row Hotel,New York,10036,700,8th Avenue,New York,The Row Hotel,"700 8th Avenue, New York, NY 10036, United States of America"
Sheraton Lincoln Harbor,Weehawken,07086,500,Harbor Boulevard,New Jersey,Sheraton Lincoln Harbor,"500 Harbor Boulevard, Weehawken, NJ 07086, United States of America"
Cambria Hotel,New York,10036,30,West 46th Street,New York,Cambria Hotel,"30 West 46th Street, New York, NY 10036, United States of America"
Hotel Boutique,New York,10037,N/A,Lexington Avenue,New York,Hotel Boutique,"Lexington Avenue, New York, NY 10037, United States of America"
Room Mate Grace Hotel,New York,10036,125,West 45th Street,New York,Room Mate Grace Hotel,"125 West 45th Street, New York, NY 10036, United States of America"
Hyatt Centric Times Square,New York,10036,135,West 45th Street,New York,Hyatt Centric Times Square,"135 West 45th Street, New York, NY 10036, United States of America"
The Muse New York,New York,10036,130,West 46th Street,New York,The Muse New York,"130 West 46th Street, New York, NY 10036, United States of America"
New York Marriott Marquis,New York,10019,1535,Broadway,New York,New York Marriott Marquis,"1535 Broadway, New York, NY 10019, United States of America"
Comfort Inn,New York,10036,343,West 44th Street,New York,Comfort Inn,"343 West 44th Street, New York, NY 10036, United States of America"
The Hotel @ Times Square,New York,10036,1180,6th Avenue,New York,The Hotel @ Times Square,"1180 6th Avenue, New York, NY 10036, United States of America"
Vanderbilt YMCA,New York,10017,224,East 47th Street,New York,Vanderbilt YMCA,"224 East 47th Street, New York, NY 10017, United States of America"
Broadway @ Times Square Hotel,New York,10036,129,West 46th Street,New York,Broadway @ Times Square Hotel,"129 West 46th Street, New York, NY 10036, United States of America"
Roger Smith Hotel,New York,10017,N/A,East 47th Street,New York,Roger Smith Hotel,"East 47th Street, New York, NY 10017, United States of America"
The Bernic,New York,10017,145,East 47th Street,New York,The Bernic,"145 East 47th Street, New York, NY 10017, United States of America"
Paramount Hotel,New York,10036,249,West 45th Street,New York,Paramount Hotel,"249 West 45th Street, New York, NY 10036, United States of America"
The Hotel Edison NYC,New York,10036,228,West 47th Street,New York,The Hotel Edison NYC,"228 West 47th Street, New York, NY 10036, United States of America"
Paramount Hotel,New York,10036,235,West 46th Street,New York,Paramount Hotel,"235 West 46th Street, New York, NY 10036, United States of America"
The Lexington,New York,10017,511,Lexington Avenue,New York,The Lexington,"511 Lexington Avenue, New York, NY 10017, United States of America"
Sanctuary Hotel,New York,10036,132,West 47th Street,New York,Sanctuary Hotel,"132 West 47th Street, New York, NY 10036, United States of America"
Residence Inn by Marriott,New York,10017,148,East 48th Street,New York,Residence Inn by Marriott,"148 East 48th Street, New York, NY 10017, United States of America"
W Times Square Hotel,New York,10036,N/A,West 47th Street,New York,W Times Square Hotel,"West 47th Street, New York, NY 10036, United States of America"
DoubleTree Suites,New York,10036,1568,Broadway,New York,DoubleTree Suites,"1568 Broadway, New York, NY 10036, United States of America"
Hotel Riu Plaza New York Times Square,New York,10036,305,West 46th Street,New York,Hotel Riu Plaza New York Times Square,"305 West 46th Street, New York, NY 10036, United States of America"
Hotel Riu Plaza Manhattan Times Square,New York,10036,145,West 47th Street,New York,Hotel Riu Plaza Manhattan Times Square,"145 West 47th Street, New York, NY 10036, United States of America"
The French Quarters Guest Apartments,New York,10036,346,West 46th Street,New York,The French Quarters Guest Apartments,"346 West 46th Street, New York, NY 10036, United States of America"
InterContinental New York Barclay,New York,10017,111,East 48th Street,New York,InterContinental New York Barclay,"111 East 48th Street, New York, NY 10017, United States of America"
Hyatt,New York,10017,517,Lexington Avenue,New York,Hyatt,"517 Lexington Avenue, New York, NY 10017, United States of America"
Hotel Riu Plaza New York Times Square,New York,10036,305,West 46th Street,New York,Hotel Riu Plaza New York Times Square,"305 West 46th Street, New York, NY 10036, United States of America"
The Henry Norman Hotel,New York,11222,251,North Henry Street,New York,The Henry Norman Hotel,"251 North Henry Street, New York, NY 11222, United States of America"
Econo Lodge,New York,10036,302,West 47th Street,New York,Econo Lodge,"302 West 47th Street, New York, NY 10036, United States of America"
Renaissance New York Times Square Hotel,New York,10036,N/A,West 48th Street,New York,Renaissance New York Times Square Hotel,"West 48th Street, New York, NY 10036, United States of America"
Hard Rock Hotel,New York,10019,159,West 48th Street,New York,Hard Rock Hotel,"159 West 48th Street, New York, NY 10019, United States of America"
The Gallivant,New York,10036,234,West 48th Street,New York,The Gallivant,"234 West 48th Street, New York, NY 10036, United States of America"
Haiban Inn,Jersey City,07306,789,Newark Avenue,New Jersey,Haiban Inn,"789 Newark Avenue, Jersey City, NJ 07306, United States of America"
Waldorf-Astoria Hotel,New York,10037,301,Park Avenue,New York,Waldorf-Astoria Hotel,"301 Park Avenue, New York, NY 10037, United States of America"
Crowne Plaza Times Square,New York,10019,1605,Broadway,New York,Crowne Plaza Times Square,"1605 Broadway, New York, NY 10019, United States of America"
W Hotels,New York,10022,541,Lexington Avenue,New York,W Hotels,"541 Lexington Avenue, New York, NY 10022, United States of America"
San Carlos,New York,10022,150,East 50th Street,New York,San Carlos,"150 East 50th Street, New York, NY 10022, United States of America"
Hilton Garden Inn,New York,10019,790,8th Avenue,New York,Hilton Garden Inn,"790 8th Avenue, New York, NY 10019, United States of America"
Radio City Apartment,New York,10019,142,West 49th Street,New York,Radio City Apartment,"142 West 49th Street, New York, NY 10019, United States of America"
Beekman Tower,New York,10017,N/A,Mitchell Place,New York,Beekman Tower,"Mitchell Place, New York, NY 10017, United States of America"
Mayfair,New York,10019,242,West 49th Street,New York,Mayfair,"242 West 49th Street, New York, NY 10019, United States of America"
Belvedere Hotel,New York,10036,319,West 48th Street,New York,Belvedere Hotel,"319 West 48th Street, New York, NY 10036, United States of America"
Lotte New York Palace,New York,10022,455,Madison Avenue,New York,Lotte New York Palace,"455 Madison Avenue, New York, NY 10022, United States of America"
The Benjamin Royal Sonesta New York,New York,10022,125,East 50th Street,New York,The Benjamin Royal Sonesta New York,"125 East 50th Street, New York, NY 10022, United States of America"
The Kimberly,New York,10022,145,East 50th Street,New York,The Kimberly,"145 East 50th Street, New York, NY 10022, United States of America"
Ramada by Wyndham Jersey City,Jersey City,07306,65,Tonnelle Avenue,New Jersey,Ramada by Wyndham Jersey City,"65 Tonnelle Avenue, Jersey City, NJ 07306, United States of America"
The Fifty Sonesta Select New York,New York,10022,155,East 50th Street,New York,The Fifty Sonesta Select New York,"155 East 50th Street, New York, NY 10022, United States of America"
Doubletree by Hilton Hotel Metropolitan,New York,10022,569,Lexington Avenue,New York,Doubletree by Hilton Hotel Metropolitan,"569 Lexington Avenue, New York, NY 10022, United States of America"
The Pod Hotel,New York,10022,230,East 51st Street,New York,The Pod Hotel,"230 East 51st Street, New York, NY 10022, United States of America"
citizenM,New York,10019,218,West 50th Street,New York,citizenM,"218 West 50th Street, New York, NY 10019, United States of America"
The Michelangelo,New York,10019,152,West 51st Street,New York,The Michelangelo,"152 West 51st Street, New York, NY 10019, United States of America"
Radisson Hotel,New York,10019,25,West 51st Street,New York,Radisson Hotel,"25 West 51st Street, New York, NY 10019, United States of America"
Club Quarters,New York,10019,25,West 51st Street,New York,Club Quarters,"25 West 51st Street, New York, NY 10019, United States of America"
Park Avenue Apartments,New York,11206,869,Park Avenue,New York,Park Avenue Apartments,"869 Park Avenue, New York, NY 11206, United States of America"
Hilton Garden Inn,New York,10022,206,East 52nd Street,New York,Hilton Garden Inn,"206 East 52nd Street, New York, NY 10022, United States of America"
Holiday Inn Express,New York,10036,538,West 48th Street,New York,Holiday Inn Express,"538 West 48th Street, New York, NY 10036, United States of America"
Comfort Inn,New York,10036,548,West 48th Street,New York,Comfort Inn,"548 West 48th Street, New York, NY 10036, United States of America"
Ink 48 Hotel,New York,10036,653,11th Avenue,New York,Ink 48 Hotel,"653 11th Avenue, New York, NY 10036, United States of America"
Washington Jefferson Hotel,New York,10019,318,West 51st Street,New York,Washington Jefferson Hotel,"318 West 51st Street, New York, NY 10019, United States of America"
Courtyard,New York,10035,N/A,3rd Avenue,New York,Courtyard,"3rd Avenue, New York, NY 10035, United States of America"
The Manhattan at Times Square Hotel,New York,10019,N/A,West 51st Street,New York,The Manhattan at Times Square Hotel,"West 51st Street, New York, NY 10019, United States of America"
Skyline Hotel,New York,10019,725,10th Avenue,New York,Skyline Hotel,"725 10th Avenue, New York, NY 10019, United States of America"
New York Moore Hostel,New York,11206,179,Moore Street,New York,New York Moore Hostel,"179 Moore Street, New York, NY 11206, United States of America"
Brooklyn Way Hotel Prospect Park,New York,11232,764,4th Avenue,New York,Brooklyn Way Hotel Prospect Park,"764 4th Avenue, New York, NY 11232, United States of America"
Baccarat Hotel & Residences,New York,10019,20,West 53rd Street,New York,Baccarat Hotel & Residences,"20 West 53rd Street, New York, NY 10019, United States of America"
Hampton,New York,10019,851,8th Avenue,New York,Hampton,"851 8th Avenue, New York, NY 10019, United States of America"
Sheraton New York Times Square Hotel,New York,10019,N/A,7th Avenue,New York,Sheraton New York Times Square Hotel,"7th Avenue, New York, NY 10019, United States of America"
Skyway Motel,Jersey City,07047,N/A,Tonnelle Avenue,New Jersey,Skyway Motel,"Tonnelle Avenue, Jersey City, NJ 07047, United States of America"
Hilton New York Midtown,New York,10019,1335,6th Avenue,New York,Hilton New York Midtown,"1335 6th Avenue, New York, NY 10019, United States of America"
The Brooklyn Hotel,New York,11216,1199,Atlantic Avenue,New York,The Brooklyn Hotel,"1199 Atlantic Avenue, New York, NY 11216, United States of America"
Warwick Hotel,New York,10019,65,West 54th Street,New York,Warwick Hotel,"65 West 54th Street, New York, NY 10019, United States of America"
"The Carvi Hotel New York, Ascend Hotel Collection",New York,10022,152,East 55th Street,New York,"The Carvi Hotel New York, Ascend Hotel Collection","152 East 55th Street, New York, NY 10022, United States of America"
The Peninsula New York,New York,10035,N/A,5th Avenue,New York,The Peninsula New York,"5th Avenue, New York, NY 10035, United States of America"
Conrad New York Midtown,New York,10019,151,West 54th Street,New York,Conrad New York Midtown,"151 West 54th Street, New York, NY 10019, United States of America"
adour alan ducasse,New York,10022,16,East 55th Street,New York,adour alan ducasse,"16 East 55th Street, New York, NY 10022, United States of America"
St Regis New York,New York,10022,2,East 55th Street,New York,St Regis New York,"2 East 55th Street, New York, NY 10022, United States of America"
Liberty View Brooklyn Hotel,New York,11232,826,4th Avenue,New York,Liberty View Brooklyn Hotel,"826 4th Avenue, New York, NY 11232, United States of America"
Ameritania at Times Square,New York,10019,230,West 54th Street,New York,Ameritania at Times Square,"230 West 54th Street, New York, NY 10019, United States of America"
Concorde Hotel,New York,10022,127,East 55th Street,New York,Concorde Hotel,"127 East 55th Street, New York, NY 10022, United States of America"
La Quinta,New York,11216,1229,Atlantic Avenue,New York,La Quinta,"1229 Atlantic Avenue, New York, NY 11216, United States of America"
Rodeway Inn,Jersey City,07307,459,Tonnelle Avenue,New Jersey,Rodeway Inn,"459 Tonnelle Avenue, Jersey City, NJ 07307, United States of America"
Hilton Garden Inn,New York,10019,237,West 54th Street,New York,Hilton Garden Inn,"237 West 54th Street, New York, NY 10019, United States of America"
Residence Inn New York Manhattan / Central Park,New York,10019,N/A,West 54th Street,New York,Residence Inn New York Manhattan / Central Park,"West 54th Street, New York, NY 10019, United States of America"
Dream Midtown,New York,10019,210,West 55th Street,New York,Dream Midtown,"210 West 55th Street, New York, NY 10019, United States of America"
Broadway Hotel,New York,11206,1090,Myrtle Avenue,New York,Broadway Hotel,"1090 Myrtle Avenue, New York, NY 11206, United States of America"
AKA Sutton Place,New York,10022,330,East 56th Street,New York,AKA Sutton Place,"330 East 56th Street, New York, NY 10022, United States of America"
Park Central Hotel,New York,10019,860,7th Avenue,New York,Park Central Hotel,"860 7th Avenue, New York, NY 10019, United States of America"
Lombardy Hotel,New York,10022,111,East 56th Street,New York,Lombardy Hotel,"111 East 56th Street, New York, NY 10022, United States of America"
GLo Best Western Brooklyn,New York,11232,850,4th Avenue,New York,GLo Best Western Brooklyn,"850 4th Avenue, New York, NY 11232, United States of America"
Wyndham Garden,New York,11101,44-29,9th Street,New York,Wyndham Garden,"44-29 9th Street, New York, NY 11101, United States of America"
Hotel 57,New York,10022,130,East 57th Street,New York,Hotel 57,"130 East 57th Street, New York, NY 10022, United States of America"
Chambers Hotel,New York,10019,15,West 56th Street,New York,Chambers Hotel,"15 West 56th Street, New York, NY 10019, United States of America"
Fitzpatrick,New York,10022,687,Lexington Avenue,New York,Fitzpatrick,"687 Lexington Avenue, New York, NY 10022, United States of America"
Thompson Central Park New York,New York,10019,119,West 56th Street,New York,Thompson Central Park New York,"119 West 56th Street, New York, NY 10019, United States of America"
