Hotel Name,Distance from NYC
Royal Regency Hotel,18.28
Aloft Secaucus Meadowlands,5.74
Baymont by Wyndham White Plains - Elmsford,26.63
Residence Inn by Marriott Saddle River,22.96
Leon Hotel LES,0
Hyatt Place Fort Lee / George Washington Bridge,10.42
Days Inn by Wyndham Brooklyn Marine Park,7.74
Residence Inn by Marriott East Rutherford Meadowlands,8.93
Super 8 by Wyndham North Bergen NJ/NYC Area,4.61
Cambria Hotel West Orange,14.25
Extended Stay America Suites Secaucus New York City Area,5.28
Element Spring Valley,27.11
Best Western Premier NYC Gateway Hotel,4.56
Tranquil Luxury King<br>Suite | Rooftop | Gym | Lounge | Walk to Prudential Center,8.74
"Holiday Inn New York City - Wall Street, an IHG Hotel",0
DoubleTree by Hilton New York Downtown,0
Four Points By Sheraton New York Downtown,0
Teaneck Marriott at Glenpointe,10.99
Element Harrison - Newark,8.07
Residence Inn Secaucus Meadowlands,5.45
Freehand New York,0
Homewood Suites by Hilton Edgewater,6.55
Hampton Inn Manhattan-Seaport-Financial District,0
Extended Stay America Suites White Plains Elmsford,25.58
Feather Factory,4.03
Courtyard by Marriott Yonkers Westchester County,19.16
Comfort Inn & Suites,28.07
Hilton Garden Inn Ridgefield Park,9.6
SoHo 54 Hotel,0
Highbridge Hotel,9.65
Family Friendly Three Bedroom Apartment outside of NYC,25.04
Luxurious townhouse. Safe and quiet neighborhood centrally located near all rest,9.93
"Holiday Inn Express New York City- Wall Street, an IHG Hotel",0
Courtyard by Marriott West Orange,14.18
The Gatsby Hotel,0
Knights Inn Brooklyn Sunset Park,4.57
DoubleTree by Hilton Hotel Newark Airport,8.27
Pod Times Square,0
"The Cloud One New York-Downtown, by the Motel One Group",0
Sheraton Tribeca New York Hotel,0
Moxy NYC Downtown,0
Marriott Park Ridge,23.08
Courtyard Long Island City/New York Manhattan View,4.4
"The L Hotel, Ascend Hotel Collection",3.85
Hotel Mimosa,0
La Quinta Inn & Suites by Wyndham New York City Central Park,0
Paramount Times Square,0
Hampton Inn Manhattan/Downtown-Financial District,0
Casa Blanca Hotel Brooklyn,2.03
The Shelburne Sonesta New York,0
LIC Hotel,0
Courtyard by Marriott Wayne Fairfield,18.13
Homewood Suites by Hilton Edison Woodbridge,20.57
The Vue Inn Brooklyn,5.65
The Flat NYC,0
"Holiday Inn Express New York - Manhattan West Side, an IHG Hotel",0
Hotel 48LEX New York,0
Orchard Street Hotel,0
Element New York Times Square West,0
Hampton Inn Garden City Long Island,20.85
Hampton Inn NY-JFK,11.49
Hampton Inn Carlstadt-At The Meadowlands,8.19
Pod 51,0
Courtyard by Marriott New York Downtown Manhattan/Financial District,0
