Hotel Name,Advertised Price,Total Price
Aloft Manhattan Downtown - Financial District,The price is $312,$362 total
"Holiday Inn New York City - Wall Street, an IHG Hotel",The price is $313,$381 total
Marriott Park Ridge,The price is $313,$359 total
DoubleTree by Hilton New York Midtown Fifth Ave,The price is $314,$363 total
The FIDI Hotel,The price is $314,$398 total
Hotel St. James,The price is $314,$364 total
Pod Times Square,The price is $319,$393 total
Rockville Centre Hotel,The price is $320,$357 total
Condor Hotel,The price is $321,$372 total
The Michelangelo Hotel,The price is $322,$418 total
Moxy NYC Times Square,The price is $322,$407 total
"Club Quarters Hotel, Grand Central",The price is $323,$374 total
Comfort Inn Manhattan - Midtown West,The price is $323,$374 total
Wyndham Garden Long Island City,The price is $323,$374 total
Global Luxury Suites at The Arches,The price is $325,$468 total
OYO Times Square,The price is $326,$421 total
Empire Hotel,The price is $327,$402 total
Sonesta Simply Suites Jersey City,The price is $327,$382 total
Pod 51,The price is $329,$404 total
The Shoreham Hotel,The price is $329,$393 total
"The Cloud One New York-Downtown, by the Motel One Group",The price is $329,$381 total
Wyndham Garden Chinatown,The price is $329,$381 total
Adria Hotel And Conference Center,The price is $329,$381 total
Element Harrison - Newark,The price is $329,$377 total
Nesva Hotel,The price is $330,$382 total
Hilton Garden Inn New York Times Square South,The price is $330,$382 total
Fairfield Inn by Marriott LaGuardia Airport/Flushing,The price is $330,$383 total
The Wall Street Inn,The price is $330,$383 total
The Gatsby Hotel,The price is $331,$432 total
Fairfield Inn New York Manhattan/Financial District,The price is $331,$383 total
Redford Hotel,The price is $331,$398 total
Hilton Garden Inn Westbury,The price is $331,$369 total
"Club Quarters, Times Square - Midtown",The price is $331,$383 total
"Holiday Inn Express Maspeth, an IHG Hotel",The price is $331,$385 total
"Holiday Inn Express New York City- Wall Street, an IHG Hotel",The price is $332,$403 total
Ameritania Hotel at Times Square,The price is $332,$407 total
Millennium Downtown New York,The price is $332,$420 total
"Candlewood Suites New York City-Times Square, an IHG Hotel",The price is $332,$404 total
Corona Hotel,The price is $333,$385 total
Hotel Boutique at Grand Central,The price is $333,$386 total
Fairfield Inn & Suites by Marriott New York Brooklyn,The price is $334,$386 total
The Manhattan at Times Square Hotel,The price is $335,$428 total
"The Time New York, part of JdV by Hyatt",The price is $336,$423 total
Dream Midtown,The price is $336,$421 total
Hyatt Place New York City/Times Square,The price is $339,$393 total
Hotel Mulberry,The price is $339,$393 total
Aloft New York Brooklyn,The price is $339,$395 total
Castle Hotel & Spa,The price is $339,$388 total
Wyndham Garden LaGuardia South,The price is $339,$393 total
Midtown Convention Center Hotel,The price is $340,$409 total
Sheraton Lincoln Harbor Hotel,The price is $341,$391 total
Long Island Marriott,The price is $341,$381 total
"Holiday Inn Express New York City Times Square, an IHG Hotel",The price is $341,$412 total
"Hotel Indigo NYC Financial District, an IHG Hotel",The price is $341,$397 total
SpringHill Suites by Marriott New York Manhattan/Times Square South,The price is $341,$397 total
Fairfield Inn & Suites New York Manhattan/Times Square South,The price is $341,$395 total
Henn na Hotel New York,The price is $341,$418 total
The Boro Hotel,The price is $341,$417 total
"Staypineapple, An Artful Hotel, Midtown",The price is $342,$424 total
TownePlace Suites by Marriott New York Manhattan/Chelsea,The price is $342,$396 total
SpringHill Suites by Marriott New York Manhattan/Chelsea,The price is $342,$398 total
The Fifty Sonesta Select New York,The price is $343,$444 total
Courtyard by Marriott Edgewater NYC Area,The price is $344,$394 total
Hotel 48LEX New York,The price is $344,$450 total
Night Hotel Broadway,The price is $344,$414 total
Hotel 32 32,The price is $345,$428 total
The Benjamin Royal Sonesta New York,The price is $346,$447 total
Millennium Hilton New York One UN Plaza,The price is $349,$433 total
Hyatt Grand Central New York,The price is $349,$450 total
Pod 39,The price is $349,$427 total
The Hotel @ Fifth Avenue,The price is $349,$424 total
Da Vinci Hotel,The price is $349,$404 total
Artezen Hotel,The price is $350,$421 total
City Club Hotel,The price is $350,$430 total
Embassy Suites by Hilton New York Manhattan Times Square,The price is $352,$437 total
Canopy by Hilton Jersey City Arts District,The price is $352,$410 total
Hotel and the City-Midtown,The price is $352,$408 total
DoubleTree by Hilton New York Times Square West,The price is $353,$409 total
Four Points By Sheraton New York Downtown,The price is $354,$410 total
Royalton New York,The price is $356,$452 total
Sheraton Brooklyn New York Hotel,The price is $356,$412 total
Studios Midtown Manhattan,The price is $358,$534 total
Residence Inn by Marriott New York JFK Airport,The price is $358,$414 total
Hampton Inn Garden City Long Island,The price is $358,$400 total
SoHo 54 Hotel,The price is $359,$450 total
Courtyard New York Manhattan/Times Square West,The price is $359,$415 total
