Hotel Name,Advertised Price,Total Price
"Holiday Inn Express Roslyn - Manhasset Area, an IHG Hotel",The price is $265,$299 total
Hampton Inn & Suites Yonkers - Westchester,The price is $266,$305 total
"The Roslyn, Tapestry Collection by Hilton",The price is $267,$298 total
1850s historic Row House 7min train to NYC with private backyard,The price is $268,$677 total
"Vista LIC Hotel, BW Premier Collection",The price is $269,$312 total
Four Points by Sheraton Flushing,The price is $269,$312 total
LaGuardia Plaza Hotel,The price is $269,$312 total
"Holiday Inn Westbury - Long Island, an IHG Hotel",The price is $269,$300 total
Sonesta Simply Suites Jersey City,The price is $271,$316 total
Orchard Street Hotel,The price is $271,$330 total
Hampton Inn New York - LaGuardia Airport,The price is $271,$315 total
Radisson Hotel JFK Airport,The price is $272,$315 total
Sonesta White Plains Downtown,The price is $272,$333 total
DoubleTree by Hilton Hotel Nanuet,The price is $272,$303 total
Comfort Inn & Suites,The price is $274,$313 total
Hilton Short Hills,The price is $276,$317 total
Fairfield Inn by Marriott JFK Airport,The price is $278,$323 total
"Hotel Indigo Flushing, an IHG Hotel",The price is $278,$325 total
Courtyard by Marriott New York Downtown Manhattan/Financial District,The price is $281,$326 total
Teaneck Marriott at Glenpointe,The price is $282,$323 total
Hyatt House Jersey City,The price is $282,$329 total
La Quinta Inn & Suites by Wyndham Garden City,The price is $284,$317 total
The Lodge Red Hook,The price is $284,$329 total
"Holiday Inn Brooklyn Downtown, an IHG Hotel",The price is $284,$331 total
"Crowne Plaza JFK Airport New York City, an IHG Hotel",The price is $284,$332 total
Hilton Garden Inn Queens/JFK Airport,The price is $284,$330 total
Wyndham Garden Long Island City,The price is $287,$333 total
Residence Inn by Marriott New York Downtown Manhattan/Financial District,The price is $288,$334 total
"Viana Hotel and Spa, Trademark Collection by Wyndham",The price is $288,$322 total
Marriott Park Ridge,The price is $289,$331 total
Liberty View Brooklyn hotel,The price is $290,$336 total
Renaissance New York Harlem Hotel,The price is $290,$365 total
HI New York City,The price is $293,$293 total
Heritage Hotel,The price is $294,$340 total
"EVEN Hotel Brooklyn, an IHG Hotel",The price is $294,$357 total
Residence Inn Orangeburg,The price is $294,$327 total
Courtyard by Marriott Edgewater NYC Area,The price is $294,$337 total
"Club Quarters Hotel, World Trade Center",The price is $296,$343 total
World Center Hotel,The price is $296,$343 total
Renaissance New York Flushing Hotel at Tangram,The price is $296,$343 total
The Gatsby Hotel,The price is $297,$389 total
HYATT house White Plains,The price is $297,$339 total
Sheraton LaGuardia East Hotel,The price is $297,$344 total
Aloft New York LaGuardia Airport,The price is $297,$344 total
Edge Hotel,The price is $298,$346 total
Red Roof PLUS+ Long Island - Garden City,The price is $299,$334 total
Opera House Hotel,The price is $299,$364 total
"Hilton Garden Inn Westchester Dobbs Ferry, NY",The price is $300,$343 total
The Ridge Hotel,The price is $300,$417 total
Rockville Centre Hotel,The price is $300,$335 total
TownePlace Suites by Marriott New York Long Island City/Manhattan View,The price is $303,$351 total
Canopy by Hilton Jersey City Arts District,The price is $303,$353 total
Aloft Manhattan Downtown - Financial District,The price is $304,$352 total
Sheraton Tarrytown Hotel,The price is $305,$349 total
Fairfield Inn New York Manhattan/Financial District,The price is $305,$354 total
The Gallivant Times Square,The price is $309,$375 total
"The Cloud One New York-Downtown, by the Motel One Group",The price is $309,$358 total
Hyatt Place Garden City,The price is $309,$348 total
Hotel 57,The price is $309,$404 total
Hotel Mimosa,The price is $313,$362 total
Courtyard by Marriott Rye,The price is $313,$357 total
Hampton Inn White Plains/Tarrytown,The price is $314,$370 total
Westchester Marriott,The price is $314,$359 total
Hotel St. James,The price is $314,$364 total
Artezen Hotel,The price is $314,$380 total
Residence Inn by Marriott White Plains Westchester County,The price is $314,$359 total
"Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",The price is $314,$366 total
Sheraton Lincoln Harbor Hotel,The price is $317,$363 total
Nesva Hotel,The price is $318,$368 total
Hampton Inn NY-JFK,The price is $321,$372 total
Madison LES Hotel,The price is $321,$395 total
"Club Quarters, Times Square - Midtown",The price is $322,$373 total
The FIDI Hotel,The price is $322,$408 total
Hampton Inn Manhattan/Downtown-Financial District,The price is $328,$380 total
Chelsea Pines Inn,The price is $328,$380 total
Hotel and the City-Midtown,The price is $328,$380 total
The Shoreham Hotel,The price is $329,$393 total
Hotel Mulberry,The price is $329,$381 total
Inn at Great Neck,The price is $329,$367 total
"Holiday Inn Express New Rochelle, an IHG Hotel",The price is $329,$376 total
Arlo SoHo,The price is $331,$412 total
Ravel Hotel Trademark Collection by Wyndham,The price is $331,$383 total
The Westin Jersey City Newport,The price is $331,$386 total
"Holiday Inn Express New York City- Wall Street, an IHG Hotel",The price is $332,$403 total
Hudson River Hotel,The price is $332,$384 total
Da Vinci Hotel,The price is $332,$384 total
"Envue, Autograph Collection",The price is $332,$381 total
The Boro Hotel,The price is $332,$406 total
Castle Hotel & Spa,The price is $332,$380 total
Freehand New York,The price is $335,$422 total
The Solita Soho Hotel,The price is $335,$411 total
The Manhattan at Times Square Hotel,The price is $335,$428 total
Radio Hotel,The price is $336,$389 total
Paramount Times Square,The price is $338,$431 total
Hyatt Centric Wall Street New York,The price is $338,$420 total
Moxy NYC Downtown,The price is $339,$421 total
"The MC, Autograph Collection",The price is $339,$389 total
Comfort Inn Prospect Park - Brooklyn,The price is $339,$393 total
Hyatt Regency Jersey City on the Hudson,The price is $341,$398 total
"Gild Hall, A Thompson Hotel",The price is $341,$450 total
The Shelburne Sonesta New York,The price is $342,$440 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,The price is $342,$396 total
Fairfield Inn & Suites by Marriott New York ManhattanChelsea,The price is $342,$396 total
Residence Inn New York The Bronx At Metro Center Atrium,The price is $343,$397 total
The Fifty Sonesta Select New York,The price is $343,$444 total
Night Hotel Broadway,The price is $344,$414 total
Cambria Hotel New York - Chelsea,The price is $348,$402 total
Hyatt Grand Central New York,The price is $349,$450 total
Hampton Inn Manhattan-Seaport-Financial District,The price is $349,$404 total
"EVEN Midtown East Grand Central, an IHG Hotel",The price is $349,$431 total
Courtyard Westbury Long Island,The price is $349,$390 total
SpringHill Suites by Marriott Tuckahoe Westchester County,The price is $349,$399 total
Residence Inn Long Island Garden City,The price is $349,$390 total
Ameritania Hotel at Times Square,The price is $350,$428 total
Courtyard by Marriott New York World Trade Center Area,The price is $350,$405 total
Collective Governors Island,The price is $350,$460 total
"Holiday Inn New York City - Wall Street, an IHG Hotel",The price is $351,$425 total
OYO Times Square,The price is $353,$452 total
Global Luxury Suites at The Arches,The price is $353,$499 total
DoubleTree by Hilton New York Times Square West,The price is $353,$409 total
The Lex NYC,The price is $356,$445 total
Royalton New York,The price is $356,$452 total
SoHo 54 Hotel,The price is $359,$450 total
Residence Inn Marriott New York Downtown Manhattan/WTC Area,The price is $359,$417 total
Wingate by Wyndham Bronx/Haven Park,The price is $359,$415 total
Aloft New York Brooklyn,The price is $359,$417 total
Millennium Downtown New York,The price is $359,$451 total
Hyatt Herald Square New York,The price is $359,$439 total
Sanctuary Hotel New York,The price is $359,$442 total
SpringHill Suites by Marriott New York Midtown Manhattan/Park Avenue,The price is $359,$416 total
Hyatt Place Long Island City/New York City,The price is $359,$416 total
Modern Luxury Home near NYC FreeParking,The price is $359,$508 total
"Homewood Suites by Hilton Carle Place - Garden City, NY",The price is $359,$401 total
TownePlace Suites by Marriott New York Manhattan/Chelsea,The price is $360,$417 total
LIC Hotel,The price is $360,$417 total
Moxy NYC Times Square,The price is $360,$451 total
"Hotel Indigo NYC Financial District, an IHG Hotel",The price is $360,$419 total
"Hotel Indigo Williamsburg - Brooklyn, an IHG Hotel",The price is $365,$458 total
La Quinta Inn & Suites by Wyndham Times Square South,The price is $365,$444 total
Redford Hotel,The price is $365,$437 total
Fairfield Inn & Suites New York Manhattan/Times Square South,The price is $365,$422 total
RIU Plaza Manhattan Times Square,The price is $365,$456 total
Millennium Hotel Broadway Times Square,The price is $366,$487 total
Hotel 32 32,The price is $366,$452 total
Placemakr Wall Street,The price is $366,$526 total
Hilton Garden Inn Long Island City New York,The price is $367,$425 total
Doubletree by Hilton New York Times Square South,The price is $367,$425 total
Motto by Hilton New York City Chelsea,The price is $367,$459 total
Courtyard by Marriott New York JFK Airport,The price is $368,$426 total
Doxie Hotel,The price is $368,$426 total
Fairfield Inn & Suites New York Manhattan / Central Park,The price is $369,$427 total
Hyatt Place New York City/Times Square,The price is $369,$427 total
Sheraton Tribeca New York Hotel,The price is $369,$427 total
The Modernist Hotel,The price is $369,$447 total
Residence Inn by Marriott Weehawken,The price is $369,$423 total
"Club Quarters Hotel, Grand Central",The price is $370,$428 total
Hotel Boutique at Grand Central,The price is $370,$428 total
"Park South Hotel, part of JdV by Hyatt",The price is $371,$463 total
Fairfield Inn & Suites New York Manhattan/Downtown East,The price is $371,$429 total
The Benjamin Royal Sonesta New York,The price is $371,$476 total
Element New York Times Square West,The price is $372,$430 total
"The Jewel, a Club Quarters Hotel, Opposite Rockefeller Center",The price is $374,$433 total
The Mansion at Glen Cove,The price is $375,$419 total
Hampton Inn Brooklyn/Downtown,The price is $376,$435 total
Arlo NoMad,The price is $377,$464 total
"Crowne Plaza Times Square Manhattan, an IHG Hotel",The price is $377,$502 total
"Candlewood Suites New York City-Times Square, an IHG Hotel",The price is $377,$455 total
W Hoboken,The price is $377,$432 total
Wingate by Wyndham New York Midtown South/5th Ave,The price is $377,$436 total
Fairfield Inn & Suites by Marriott New York Brooklyn,The price is $378,$437 total
Courtyard by Marriott New York Manhattan / Chelsea,The price is $378,$437 total
Four Points By Sheraton New York Downtown,The price is $379,$438 total
Hyatt Regency JFK Airport at Resorts World New York,The price is $379,$467 total
The George,The price is $379,$434 total
Courtyard by Marriott Tarrytown Westchester County,The price is $379,$433 total
Pestana Park Avenue,The price is $379,$461 total
"Holiday Inn NYC - Lower East Side, an IHG Hotel",The price is $379,$440 total
42 Hotel,The price is $380,$440 total
Sheraton Brooklyn New York Hotel,The price is $382,$441 total
"Marriott Vacation Club Pulse, New York City",The price is $382,$442 total
The Allen Hotel,The price is $383,$471 total
Millennium Premier New York Times Square,The price is $383,$518 total
Hotel Richland LES,The price is $383,$462 total
The Nolitan,The price is $383,$471 total
"Staypineapple, An Artful Hotel, Midtown",The price is $384,$473 total
SpringHill Suites by Marriott New York Midtown Manhattan,The price is $384,$444 total
Hilton Garden Inn New York/Times Square Central,The price is $385,$471 total
Hampton Inn Manhattan-35th St/Empire State Bldg,The price is $385,$446 total
"The Bernic Hotel New York City, Tapestry Collection by Hilton",The price is $385,$446 total
Grayson Hotel in the Unbound Collection by Hyatt,The price is $386,$484 total
Four Points by Sheraton Midtown-Times Square,The price is $386,$447 total
SpringHill Suites by Marriott New York Manhattan/Times Square South,The price is $386,$449 total
Dream Midtown,The price is $387,$480 total
HGU New York,The price is $387,$447 total
DoubleTree by Hilton Hotel New York City - Chelsea,The price is $389,$449 total
CIVILIAN Hotel,The price is $389,$450 total
Pod 51,The price is $389,$473 total
Wyndham Garden Chinatown,The price is $389,$450 total
"The Draper New York, Tapestry Collection by Hilton",The price is $389,$450 total
The Lombardy Hotel,The price is $390,$462 total
TRYP by Wyndham New York City Times Square / Midtown,The price is $390,$474 total
Hampton Inn & Suites Rockville Centre,The price is $391,$436 total
Empire Hotel,The price is $391,$475 total
The Gotham Hotel,The price is $391,$480 total
"Holiday Inn Manhattan 6th Ave - Chelsea, an IHG Hotel",The price is $392,$455 total
Hilton Garden Inn New York Times Square North,The price is $395,$456 total
Hampton Inn Manhattan Grand Central,The price is $395,$456 total
SpringHill Suites by Marriott New York Manhattan/Chelsea,The price is $395,$459 total
Hilton Garden Inn New York/Tribeca,The price is $395,$457 total
City Club Hotel,The price is $395,$482 total
"Holiday Inn New York City - Times Square, an IHG Hotel",The price is $395,$459 total
Four Points by Sheraton Manhattan SoHo Village,The price is $395,$457 total
"The Lexington Hotel, Autograph Collection",The price is $395,$492 total
Best Western Plus Hospitality House,The price is $396,$458 total
Margaritaville Resort Times Square,The price is $396,$515 total
