Hotel Name,Advertised Price,Total Price
Hilton Garden Inn Nanuet,The price is $211,$235 total
Madison LES Hotel,The price is $211,$268 total
Hampton Inn & Suites Newark-Harrison-Riverwalk,The price is $212,$242 total
The FIDI Hotel,The price is $212,$281 total
"The Lexington Hotel, Autograph Collection",The price is $212,$281 total
Millennium Hilton New York One UN Plaza,The price is $212,$276 total
"The Westfield Inn, BW Signature Collection",The price is $212,$236 total
Best Western Jamaica Inn,The price is $212,$247 total
Howard Johnson by Wyndham North Bergen,The price is $212,$250 total
Super 8 by Wyndham North Bergen NJ/NYC Area,The price is $213,$250 total
The Shelburne Sonesta New York,The price is $213,$293 total
Relax in this cozy newly  built 3-bedroom unit with 2bathrooms.,The price is $213,$291 total
"Avion Inn Near LGA Airport, Ascend Hotel Collection",The price is $213,$248 total
Hotel Mimosa,The price is $214,$249 total
Hampton Inn Manhattan-Seaport-Financial District,The price is $214,$249 total
DoubleTree by Hilton Hotel Nanuet,The price is $214,$238 total
00 Cozy apt and easy transportation to New York City,The price is $215,$345 total
Residence Inn by Marriott Newark Elizabeth/Liberty International Airport,The price is $215,$252 total
Ramada by Wyndham Bronx,The price is $215,$250 total
Courtyard by Marriott New York World Trade Center Area,The price is $215,$250 total
Cambria Hotel West Orange,The price is $215,$247 total
The Andrew Hotel,The price is $215,$240 total
The Local,The price is $215,$251 total
DoubleTree by Hilton New York Midtown Fifth Ave,The price is $216,$251 total
Best Western Queens Gold Coast,The price is $216,$251 total
Ravel Hotel Trademark Collection by Wyndham,The price is $216,$252 total
Hilton Garden Inn New York/Manhattan-Midtown East,The price is $218,$253 total
"Holiday Inn Express & Suites Woodside Queens NYC, an IHG Hotel",The price is $218,$255 total
Hilton Garden Inn Long Island City New York,The price is $218,$253 total
"Club Quarters Hotel, Grand Central",The price is $218,$254 total
The Gallivant Times Square,The price is $219,$272 total
Pod 39,The price is $219,$278 total
Hampton Inn Manhattan/Downtown-Financial District,The price is $219,$255 total
Courtyard by Marriott Montvale,The price is $219,$251 total
SpringHill Suites by Marriott Woodbridge,The price is $219,$251 total
"Watt Hotel Rahway, Tapestry Collection by Hilton",The price is $219,$251 total
Courtyard by Marriott Yonkers Westchester County,The price is $219,$252 total
Hilton Garden Inn New York / Staten Island,The price is $219,$255 total
Hyatt Grand Central New York,The price is $220,$302 total
Hilton Garden Inn NYC Financial Center/Manhattan Downtown,The price is $220,$256 total
Renaissance Newark Airport Hotel,The price is $220,$252 total
DoubleTree by Hilton Newark Penn Station,The price is $220,$253 total
"Insignia Hotel, Ascend Hotel Collection",The price is $220,$256 total
The Parc Hotel,The price is $220,$256 total
Comfort Inn Brooklyn,The price is $220,$256 total
Freehand New York,The price is $221,$291 total
Best Western Gregory Hotel,The price is $221,$257 total
TownePlace Suites by Marriott New York Long Island City/Manhattan View,The price is $221,$257 total
The Redbury New York,The price is $221,$291 total
LIC Hotel,The price is $221,$257 total
Best Western Brooklyn-Coney Island Inn,The price is $221,$258 total
Residence Inn Woodbridge Edison/Raritan Center,The price is $222,$254 total
"Holiday Inn Express Maspeth, an IHG Hotel",The price is $222,$260 total
Chelsea Inn,The price is $223,$328 total
Rockaway Hotel Brooklyn,The price is $223,$260 total
Condor Hotel,The price is $223,$260 total
Canal Loft Hotel,The price is $224,$314 total
Sheraton Tarrytown Hotel,The price is $224,$256 total
Courtyard by Marriott Newark Downtown,The price is $224,$258 total
Courtyard by Marriott Newark Downtown,The price is $224,$258 total
"Holiday Inn Express NYC Brooklyn - Sunset Park, an IHG Hotel",The price is $224,$263 total
Hampton Inn Paramus,The price is $225,$258 total
Royal Regency Hotel,The price is $225,$268 total
"Holiday Inn Express Jamaica - JFK AirTrain - NYC, an IHG Hotel",The price is $226,$265 total
Chelsea Pines Inn,The price is $226,$263 total
Homewood Suites by Hilton Newark-Cranford,The price is $226,$259 total
Residence Inn By Marriott West Orange,The price is $227,$260 total
Courtyard by Marriott West Orange,The price is $227,$260 total
"EVEN Hotel Brooklyn, an IHG Hotel",The price is $227,$281 total
"Holiday Inn Express Brooklyn - Bushwick, an IHG Hotel",The price is $227,$283 total
The Flat NYC,The price is $227,$264 total
Hotel Boutique at Grand Central,The price is $228,$265 total
The Gatsby Hotel,The price is $229,$304 total
DoubleTree by Hilton New York Downtown,The price is $229,$266 total
The Westin New York Grand Central,The price is $229,$301 total
Pod Times Square,The price is $229,$289 total
Sheraton Tribeca New York Hotel,The price is $229,$266 total
Asiatic Hotel by LaGuardia Airport,The price is $229,$266 total
